CarName,Price,Year,KilometersDriven,Fuel Type,Location
Tata NEXON,"9,53,000",2021,"2,428 KM",PETROL,"Tathawade, Pune"
Maruti Swift,"2,25,000",2010,"77,733 KM",PETROL,"Tathawade, Pune"
Maruti Swift,"4,51,000",2016,"25,559 KM",PETROL,"Undri, Pune"
Hyundai Creta,"7,86,000",2017,"59,362 KM",PETROL,"Tathawade, Pune"
Tata Tiago,"4,88,000",2018,"23,658 KM",PETROL,"Tathawade, Pune"
Hyundai i20,"3,80,000",2013,"97,279 KM",CNG,"Tathawade, Pune"
Jeep Compass,"11,24,000",2018,"37,044 KM",DIESEL,"Undri, Pune"
Volkswagen Ameo,"4,12,000",2016,"76,919 KM",PETROL,"Undri, Pune"
Maruti Swift,"5,95,000",2017,"68,642 KM",DIESEL,"Tathawade, Pune"
Toyota Glanza,"6,94,000",2021,"12,954 KM",PETROL,"Tathawade, Pune"
Renault TRIBER,"6,09,000",2020,"25,506 KM",PETROL,"Tathawade, Pune"
Hyundai Elite i20,"5,35,000",2017,"58,135 KM",PETROL,"Tathawade, Pune"
Tata ALTROZ,"6,96,000",2020,"54,725 KM",PETROL,"Tathawade, Pune"
Maruti New Wagon-R,"4,81,000",2019,"70,440 KM",CNG,"Undri, Pune"
Maruti Wagon R 1.0,"3,72,000",2016,"71,761 KM",PETROL,"Undri, Pune"
Mahindra BOLERO NEO,"11,61,000",2022,"23,381 KM",DIESEL,"Undri, Pune"
Hyundai Elite i20,"5,99,000",2017,"70,855 KM",PETROL,"Undri, Pune"
Maruti Swift,"2,93,000",2011,"60,385 KM",PETROL,"Tathawade, Pune"
Renault Kwid,"3,66,000",2017,"53,087 KM",PETROL,"Undri, Pune"
Maruti Swift Dzire,"5,10,000",2014,"1,13,410 KM",DIESEL,"Tathawade, Pune"
Hyundai Verna,"6,46,000",2016,"1,13,077 KM",PETROL,"Undri, Pune"
Maruti Celerio,"3,79,000",2016,"99,628 KM",PETROL,"Undri, Pune"
Toyota Etios,"2,68,000",2011,"52,890 KM",PETROL,"Tathawade, Pune"
Hyundai Verna,"5,80,600",2015,"74,250 KM",PETROL,"Tathawade, Pune"
Honda Jazz,"4,84,000",2016,"56,621 KM",PETROL,"Tathawade, Pune"
Honda WR-V,"5,94,000",2017,"42,267 KM",DIESEL,"Undri, Pune"
Hyundai i10,"2,05,000",2011,"48,863 KM",PETROL,"Tathawade, Pune"
Maruti Ertiga,"6,84,000",2013,"42,850 KM",DIESEL,"Undri, Pune"
Maruti Swift,"3,56,000",2011,"87,951 KM",DIESEL,"Tathawade, Pune"
Skoda Rapid,"8,04,000",2017,"53,518 KM",DIESEL,"Tathawade, Pune"
Maruti Zen Estilo,"1,71,000",2010,"88,084 KM",PETROL,"Tathawade, Pune"
Ford Ecosport,"5,79,000",2017,"60,899 KM",DIESEL,"Tathawade, Pune"
Maruti Alto 800,"2,22,000",2014,"87,729 KM",PETROL,"Undri, Pune"
KIA SELTOS,"10,42,000",2019,"15,858 KM",PETROL,"Undri, Pune"
Mahindra Scorpio,"9,15,000",2016,"1,19,633 KM",DIESEL,"Undri, Pune"
Maruti Celerio,"4,73,300",2018,"25,805 KM",PETROL,"Tathawade, Pune"
Maruti Celerio,"4,14,000",2017,"86,000 KM",CNG,"Tathawade, Pune"
Maruti Alto K10,"2,42,000",2014,"50,930 KM",PETROL,"Undri, Pune"
Nissan Micra,"6,03,000",2018,"27,903 KM",PETROL,"Tathawade, Pune"
Hyundai NEW SANTRO,"4,16,000",2019,"34,046 KM",PETROL,"Undri, Pune"
Honda City,"10,97,000",2022,"20,036 KM",PETROL,"Undri, Pune"
Maruti Swift Dzire,"5,50,000",2013,"1,09,207 KM",DIESEL,"Tathawade, Pune"
Maruti Ciaz,"4,85,000",2015,"85,560 KM",PETROL,"Undri, Pune"
Tata NEXON,"7,30,000",2018,"99,562 KM",DIESEL,"Undri, Pune"
Maruti Baleno,"5,62,000",2018,"70,541 KM",PETROL,"Tathawade, Pune"
Maruti Dzire,"6,42,000",2019,"35,812 KM",PETROL,"Undri, Pune"
Maruti New Wagon-R,"5,71,000",2021,"51,121 KM",CNG,"Undri, Pune"
Maruti Celerio,"4,68,000",2019,"1,03,872 KM",CNG,"Tathawade, Pune"
Honda Amaze,"4,29,000",2016,"14,905 KM",PETROL,"Tathawade, Pune"
Honda City,"5,27,000",2016,"55,353 KM",PETROL,"Undri, Pune"
Honda City,"4,28,000",2012,"44,589 KM",PETROL,"Tathawade, Pune"
Honda City,"6,05,000",2016,"82,845 KM",PETROL,"Tathawade, Pune"
Honda Brio,"2,74,000",2013,"39,803 KM",PETROL,"Undri, Pune"
Maruti Alto K10,"1,79,000",2011,"92,799 KM",PETROL,"Tathawade, Pune"
Honda City,"5,75,000",2015,"89,766 KM",PETROL,"Tathawade, Pune"
Hyundai VENUE,"10,10,000",2020,"65,149 KM",CNG,"Tathawade, Pune"
Maruti Dzire,"6,66,000",2017,"52,033 KM",DIESEL,"Undri, Pune"
Maruti Alto 800,"2,83,000",2013,"57,908 KM",CNG,"Tathawade, Pune"
Maruti New Wagon-R,"5,01,000",2019,"17,396 KM",PETROL,"Undri, Pune"
Maruti Baleno,"9,11,000",2021,"7,279 KM",PETROL,"Tathawade, Pune"
Hyundai Grand i10,"4,89,000",2019,"29,006 KM",PETROL,"Undri, Pune"
Toyota Etios,"3,23,000",2013,"38,230 KM",PETROL,"Tathawade, Pune"
Maruti Wagon R 1.0,"2,82,000",2012,"70,577 KM",CNG,"Tathawade, Pune"
Hyundai i20,"3,68,000",2013,"69,879 KM",PETROL,"Tathawade, Pune"
Maruti Dzire,"6,90,000",2017,"58,679 KM",DIESEL,"Undri, Pune"
Maruti Celerio,"4,17,000",2017,"77,788 KM",CNG,"Tathawade, Pune"
Hyundai Creta,"8,41,000",2016,"63,731 KM",PETROL,"Tathawade, Pune"
Maruti Alto 800,"2,84,000",2018,"36,722 KM",PETROL,"Undri, Pune"
