CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai i20,"2,19,000",2010,"41,940 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Alto 800,"2,32,000",2014,"79,188 KM",CNG,"Goregaon, Mumbai"
Maruti Swift,"7,27,000",2021,"30,277 KM",PETROL,"Goregaon, Mumbai"
Maruti Ritz,"1,97,000",2011,"37,245 KM",PETROL,Mulund
Hyundai Creta,"9,64,000",2019,"38,166 KM",PETROL,"Goregaon, Mumbai"
Maruti Swift Dzire,"5,47,000",2015,"30,526 KM",DIESEL,Mulund
Maruti Swift Dzire,"4,11,000",2015,"73,324 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Maruti Ertiga,"5,43,000",2013,"1,23,403 KM",CNG,Mulund
Maruti Ertiga,"8,01,000",2017,"1,04,754 KM",DIESEL,Mulund
Hyundai Verna,"7,56,000",2018,"61,661 KM",PETROL,Mulund
Maruti Baleno,"4,95,000",2017,"55,982 KM",PETROL,Mulund
Maruti Alto 800,"2,03,000",2014,"33,148 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Skoda Rapid,"7,15,000",2017,"57,759 KM",DIESEL,"Goregaon, Mumbai"
Hyundai Xcent,"4,31,000",2015,"60,208 KM",CNG,Mulund
Maruti Wagon R 1.0,"3,00,000",2014,"76,560 KM",CNG,"Rupa Renaissance, Navi Mumbai"
Maruti Celerio,"3,61,000",2014,"16,358 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Volkswagen Ameo,"3,90,000",2016,"42,048 KM",PETROL,"Goregaon, Mumbai"
Toyota Corolla Altis,"4,01,000",2013,"70,574 KM",PETROL,"Goregaon, Mumbai"
Maruti Celerio,"3,09,000",2016,"85,307 KM",PETROL,Mulund
Ford Ecosport,"4,88,000",2015,"54,872 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
Honda City,"2,96,000",2011,"97,888 KM",PETROL,Mulund
Maruti Swift,"3,79,000",2014,"32,135 KM",PETROL,Mulund
Nissan Terrano,"4,44,000",2015,"1,22,107 KM",DIESEL,"Goregaon, Mumbai"
Maruti Swift,"6,35,000",2020,"17,025 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
