CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti S PRESSO,"4,39,000",2021,"58,737 KM",CNG,"Vasant Kunj, New Delhi"
Maruti Swift,"3,25,000",2014,"68,744 KM",DIESEL,"M3M Urbana, Golf Course Ext., Gurugram"
Hyundai i10,"1,56,200",2011,"62,026 KM",PETROL,"Sector-18, Noida"
Hyundai AURA,"7,66,000",2021,"47,673 KM",CNG,"Spaze Platinum, Sohna Road, Gurugram"
Honda City,"2,94,000",2011,"63,547 KM",PETROL,"Parsvnath City Mall, Faridabad"
Honda WR-V,"8,62,000",2020,"61,360 KM",DIESEL,"Spaze Platinum, Sohna Road, Gurugram"
Tata NEXON,"8,28,000",2021,"57,097 KM",DIESEL,"M3M Urbana, Golf Course Ext., Gurugram"
Hyundai Creta,"9,89,000",2018,"60,036 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Renault Duster,"6,48,000",2018,"93,282 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Hyundai i10,"2,28,000",2012,"54,346 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Maruti IGNIS,"4,82,000",2017,"29,406 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Alto 800,"1,93,000",2013,"47,294 KM",PETROL,"Parsvnath City Mall, Faridabad"
Tata NEXON,"6,63,000",2020,"23,358 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Renault Kwid,"3,99,000",2020,"18,229 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Toyota Innova Crysta,"18,21,000",2018,"53,294 KM",DIESEL,"Sector-18, Noida"
Renault Kiger,"8,23,000",2021,"6,835 KM",PETROL,"GIP Mall, Noida"
Honda City,"9,04,000",2017,"63,782 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Wagon R 1.0,"2,10,000",2011,"49,855 KM",CNG,"Vasant Kunj, New Delhi"
Hyundai i20 Active,"5,25,000",2017,"60,915 KM",PETROL,"GIP Mall, Noida"
Maruti Baleno,"5,16,000",2019,"49,461 KM",PETROL,"Sector-18, Noida"
Maruti Alto,"1,31,000",2011,"1,07,439 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Honda Amaze,"6,47,000",2020,"38,872 KM",PETROL,"Sector-18, Noida"
Volkswagen Vento,"8,46,000",2019,"52,858 KM",DIESEL,"Sector-18, Noida"
Hyundai Xcent,"6,84,000",2018,"12,880 KM",PETROL,"Chhatarpur, Delhi"
Maruti Dzire,"6,31,000",2018,"21,912 KM",PETROL,"Sector-18, Noida"
Honda City,"6,80,000",2016,"1,06,280 KM",CNG,"GIP Mall, Noida"
Maruti Wagon R Stingray,"2,95,000",2013,"82,031 KM",PETROL,"Sector-18, Noida"
Honda Amaze,"5,59,000",2018,"88,884 KM",DIESEL,"Hindon, Sewa Nagar, Ghaziabad"
Maruti Zen Estilo,"1,84,000",2011,"94,270 KM",CNG,"Hindon, Sewa Nagar, Ghaziabad"
Honda City,"2,35,000",2010,"71,739 KM",PETROL,"Parsvnath City Mall, Faridabad"
Renault TRIBER,"5,42,000",2021,"36,758 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Maruti Alto 800,"1,98,000",2013,"76,659 KM",PETROL,"GIP Mall, Noida"
Honda Amaze,"7,09,000",2022,"29,183 KM",PETROL,"GIP Mall, Noida"
Honda City,"9,69,000",2019,"86,979 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Honda WR-V,"6,30,000",2019,"68,714 KM",PETROL,"Sector-18, Noida"
Hyundai Creta,"13,45,000",2020,"36,272 KM",DIESEL,"Hindon, Sewa Nagar, Ghaziabad"
Tata Tiago,"4,78,000",2021,"39,232 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Maruti Celerio,"4,11,000",2018,"1,06,848 KM",CNG,"Metro Walk, Rohini, New Delhi"
Renault Kwid,"2,45,000",2017,"67,522 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti IGNIS,"6,38,000",2020,"23,051 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Maruti IGNIS,"4,73,000",2017,"61,305 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Maruti Alto,"3,58,000",2020,"28,756 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Nissan Micra Active,"3,10,000",2018,"58,866 KM",PETROL,"Sector-18, Noida"
Maruti Wagon R 1.0,"2,34,000",2012,"50,979 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
KIA SELTOS,"13,08,000",2020,"99,403 KM",DIESEL,"Hindon, Sewa Nagar, Ghaziabad"
Hyundai i20,"2,18,400",2010,"45,708 KM",PETROL,"Sector-18, Noida"
Honda WR-V,"6,66,000",2017,"81,684 KM",PETROL,"Chhatarpur, Delhi"
Ford Ecosport,"7,82,000",2018,"30,047 KM",PETROL,"Sector-18, Noida"
Maruti Ciaz,"6,54,000",2018,"44,210 KM",CNG,"Hindon, Sewa Nagar, Ghaziabad"
Hyundai Elite i20,"4,53,000",2015,"1,18,957 KM",PETROL,"Sector-18, Noida"
Honda City,"7,04,000",2018,"21,452 KM",PETROL,"Sector-18, Noida"
Renault Kwid,"2,94,000",2017,"67,405 KM",PETROL,"GIP Mall, Noida"
Skoda Rapid,"7,67,000",2018,"73,603 KM",DIESEL,"Sector-18, Noida"
Maruti Wagon R 1.0,"2,91,000",2013,"39,173 KM",CNG,"Sector-18, Noida"
Maruti Alto 800,"3,18,000",2018,"68,588 KM",CNG,"M3M Urbana, Golf Course Ext., Gurugram"
Honda City,"6,01,000",2016,"33,570 KM",PETROL,"Sector-18, Noida"
Hyundai i20,"2,92,000",2013,"64,743 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Baleno,"4,66,000",2017,"85,782 KM",PETROL,"Sector-18, Noida"
Maruti Wagon R 1.0,"2,42,000",2013,"77,151 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Tata Harrier,"12,11,000",2019,"71,440 KM",DIESEL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Hyundai Elite i20,"4,08,000",2015,"1,00,315 KM",PETROL,"GIP Mall, Noida"
Datsun Go Plus,"4,62,000",2019,"27,561 KM",PETROL,"Sector-18, Noida"
Datsun Go,"3,37,000",2018,"35,600 KM",PETROL,"Sector-18, Noida"
Maruti Swift,"5,41,000",2019,"13,474 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Toyota Glanza,"6,92,000",2021,"25,009 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Honda City,"12,42,400",2021,"7,936 KM",PETROL,"Sector-18, Noida"
Hyundai Grand i10,"3,89,000",2016,"43,216 KM",PETROL,"GIP Mall, Noida"
Hyundai AURA,"7,08,000",2021,"42,682 KM",CNG,"Sector-18, Noida"
Hyundai i10,"1,63,000",2011,"1,04,145 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Dzire,"5,71,000",2018,"91,932 KM",DIESEL,"Sector-18, Noida"
Toyota Corolla Altis,"3,34,000",2011,"53,670 KM",CNG,"GIP Mall, Noida"
Datsun Redi Go,"2,64,000",2019,"10,777 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Honda Amaze,"4,13,000",2017,"84,056 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Baleno,"6,57,000",2019,"63,534 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Honda WR-V,"7,40,000",2019,"51,286 KM",DIESEL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Hyundai VENUE,"9,32,000",2020,"57,163 KM",PETROL,"Sector-18, Noida"
Hyundai i20,"2,21,000",2011,"73,041 KM",PETROL,"Sector-18, Noida"
Toyota Glanza,"6,58,000",2020,"69,492 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Honda WR-V,"5,84,000",2018,"51,594 KM",DIESEL,"GIP Mall, Noida"
Maruti Swift,"2,22,000",2011,"76,904 KM",PETROL,"Sector-18, Noida"
Maruti Ciaz,"6,32,000",2016,"31,761 KM",PETROL,"Sector-18, Noida"
Hyundai Grand i10,"3,25,000",2015,"90,609 KM",PETROL,"GIP Mall, Noida"
Renault TRIBER,"7,24,000",2022,"7,032 KM",PETROL,"Sector-18, Noida"
Maruti Swift,"1,86,000",2010,"88,898 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Honda Brio,"2,38,000",2013,"70,498 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Hyundai i10,"1,60,000",2010,"61,063 KM",PETROL,"GIP Mall, Noida"
Honda City,"3,17,000",2012,"67,064 KM",PETROL,"GIP Mall, Noida"
Maruti Swift,"4,72,000",2016,"51,141 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Ciaz,"5,90,000",2017,"40,049 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Renault TRIBER,"5,02,000",2020,"1,10,490 KM",PETROL,"Sector-18, Noida"
Volkswagen Vento,"7,18,000",2018,"1,05,792 KM",DIESEL,"GIP Mall, Noida"
Maruti Ciaz,"5,08,000",2016,"52,971 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Maruti Baleno,"4,89,000",2016,"20,755 KM",PETROL,"Hindon, Sewa Nagar, Ghaziabad"
Toyota Innova Crysta,"16,08,000",2018,"71,914 KM",DIESEL,"Sector-18, Noida"
Honda Amaze,"5,34,000",2018,"47,914 KM",PETROL,"GIP Mall, Noida"
Hyundai Grand i10,"4,17,000",2016,"55,215 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
Tata NEXON,"10,52,000",2022,"10,978 KM",PETROL,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
