CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Ciaz,"5,50,000",2016,"76,073 KM",PETROL,"Attapur, Hyderabad"
Maruti Baleno,"7,81,000",2020,"33,710 KM",PETROL,"Bachupally, Hyderabad"
Mahindra XUV 3OO,"8,65,000",2020,"42,268 KM",DIESEL,"Attapur, Hyderabad"
Maruti Swift Dzire,"5,11,000",2016,"94,426 KM",PETROL,"Bachupally, Hyderabad"
Maruti Wagon R 1.0,"4,00,000",2017,"54,856 KM",PETROL,"Kompally, Hyderabad"
Honda WR-V,"6,50,000",2018,"27,581 KM",PETROL,"Bachupally, Hyderabad"
Maruti Eeco,"4,19,000",2019,"89,438 KM",PETROL,"Kompally, Hyderabad"
Maruti Dzire,"8,37,000",2021,"16,144 KM",PETROL,"Bachupally, Hyderabad"
Maruti Swift,"4,47,000",2014,"73,889 KM",PETROL,"Vanasthalipuram, Hyderabad."
Hyundai Verna,"6,13,000",2016,"66,039 KM",PETROL,"Kompally, Hyderabad"
Maruti Alto K10,"3,58,000",2018,"54,720 KM",PETROL,"Kompally, Hyderabad"
Maruti Swift Dzire,"5,66,000",2017,"95,286 KM",PETROL,"Bachupally, Hyderabad"
Maruti Vitara Brezza,"7,44,000",2017,"89,681 KM",DIESEL,"Bachupally, Hyderabad"
Maruti Swift Dzire,"4,77,000",2014,"73,626 KM",DIESEL,"Kompally, Hyderabad"
Maruti Vitara Brezza,"6,80,000",2018,"70,167 KM",DIESEL,"Bachupally, Hyderabad"
Maruti Swift,"3,14,000",2011,"94,514 KM",DIESEL,"Bachupally, Hyderabad"
Honda Amaze,"6,15,000",2019,"37,566 KM",PETROL,"Kompally, Hyderabad"
KIA SELTOS,"12,46,000",2020,"42,372 KM",PETROL,"Vanasthalipuram, Hyderabad."
Maruti Ciaz,"8,85,000",2022,"16,727 KM",PETROL,"Kompally, Hyderabad"
Maruti IGNIS,"3,71,000",2018,"1,03,763 KM",PETROL,"Kompally, Hyderabad"
MG HECTOR,"15,49,000",2021,"2,672 KM",PETROL,"Kompally, Hyderabad"
Maruti Dzire,"7,39,000",2021,"38,883 KM",PETROL,"Vanasthalipuram, Hyderabad."
Ford Ecosport,"6,56,000",2017,"89,576 KM",DIESEL,"Attapur, Hyderabad"
Hyundai Xcent,"4,41,000",2014,"49,066 KM",PETROL,"Vanasthalipuram, Hyderabad."
Ford Ecosport,"5,32,000",2015,"1,22,578 KM",DIESEL,"Bachupally, Hyderabad"
Maruti Swift Dzire,"5,93,000",2016,"73,143 KM",PETROL,"Kompally, Hyderabad"
Honda City,"5,76,000",2015,"50,933 KM",PETROL,"Kompally, Hyderabad"
Maruti Dzire,"6,68,000",2017,"1,09,752 KM",DIESEL,"Attapur, Hyderabad"
Maruti Baleno,"5,53,000",2018,"98,059 KM",DIESEL,"Attapur, Hyderabad"
