,Fuel Type,Location,CompanyName,ModelName,Price,Year,KilometersDriven
4601,Petrol,Pune,Maruti,Suzuki Alto,140000.0,2008,70366.0
4602,Petrol,Pune,Hyundai,i10,355000.0,2015,36700.0
4603,Petrol,Pune,Maruti,Suzuki Ertiga,565000.0,2013,63700.0
4604,Diesel,Pune,Hyundai,Elantra,455000.0,2013,88000.0
4605,Diesel,Pune,Hyundai,i20,575000.0,2015,78563.0
4606,Diesel,Pune,Mahindra,Scorpio,365000.0,2010,165233.0
4607,Petrol,Pune,Hyundai,Grand i10,702000.0,2019,35700.0
4608,Diesel,Pune,Volkswagen,Polo,470000.0,2014,89900.0
4609,Diesel,Pune,Ford,Ecosport,601000.0,2015,119000.0
4610,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R,490000.0,2015,80000.0
4611,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R,385000.0,2015,50000.0
4612,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R,555000.0,2020,64000.0
4613,Diesel,Pune,Audi,Q3,1175000.0,2012,69000.0
4614,Petrol,Pune,Hyundai,Elite i20,690000.0,2019,49800.0
4615,Petrol,Pune,Hyundai,Venue,890000.0,2022,13000.0
4616,Diesel,Pune,Maruti,Suzuki Swift,610000.0,2017,88000.0
4617,Diesel,Pune,Maruti,Suzuki Vitara-Brezza,825000.0,2018,64806.0
4618,Petrol,Pune,Maruti,Suzuki Wagon-R,580000.0,2020,51938.0
4619,Diesel,Pune,Hyundai,Verna,475000.0,2012,101000.0
4620,Petrol,Pune,Honda,WRV,799000.0,2018,7900.0
4621,Petrol,Pune,Maruti,Suzuki Estilo,179000.0,2011,53000.0
4622,Diesel,Pune,BMW,5 Series,1275000.0,2013,115000.0
4623,Petrol,Pune,Maruti,Suzuki Baleno,865000.0,2022,12000.0
4624,Diesel,Pune,Mahindra,Quanto,315000.0,2013,63000.0
4625,Petrol,Pune,Hyundai,Venue,875000.0,2021,8921.0
4626,Diesel,Pune,Mercedes-Benz,GLA Class,1924000.0,2015,114281.0
4627,Diesel,Pune,Maruti,Suzuki Swift,365000.0,2010,60000.0
4628,Cng-hybrid,Pune,Maruti,Suzuki Sx4,250000.0,2011,87000.0
4629,Petrol,Pune,Hyundai,i20,450000.0,2015,31585.0
4630,Petrol,Pune,Hyundai,i20,215000.0,2010,55000.0
4631,Diesel,Pune,Honda,City,1075000.0,2019,80790.0
4632,Petrol,Pune,Maruti,Suzuki Swift,620000.0,2020,54000.0
4633,Petrol,Pune,Hyundai,Grand i10,535000.0,2016,61000.0
4634,Cng-hybrid,Pune,Toyota,Etios,288000.0,2011,99580.0
4635,Diesel,Pune,Audi,A6,650000.0,2010,99000.0
4636,Diesel,Pune,Hyundai,Fluidic Verna,444000.0,2013,84000.0
4637,Petrol,Pune,Honda,City,244000.0,2010,77466.0
4638,Petrol,Pune,Tata,Tiago,499000.0,2018,56104.0
4639,Diesel,Pune,Mercedes-Benz,S-Class,775000.0,2010,71863.0
4640,Petrol,Pune,Ford,Ecosport,777000.0,2019,79000.0
4641,Cng-hybrid,Pune,Maruti,Suzuki Wagon,410000.0,2018,70000.0
4642,Diesel,Pune,Hyundai,Creta,945000.0,2016,79000.0
4643,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R,590000.0,2019,43000.0
4644,Petrol,Pune,Honda,City,695000.0,2017,54000.0
4645,Diesel,Pune,Toyota,Innova,1275000.0,2015,94000.0
4646,Diesel,Pune,Maruti,Suzuki Ciaz,790000.0,2017,81000.0
4647,Petrol,Pune,Fiat,Palio Stile,125000.0,2007,35000.0
4648,Petrol,Pune,Maruti,Suzuki Ritz,283000.0,2011,37000.0
4649,Petrol,Pune,Maruti,Suzuki Wagon-R,249000.0,2011,57000.0
4650,Diesel,Pune,Maruti,Suzuki Sx4,311000.0,2011,106000.0
4651,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R-1-0,385000.0,2016,88000.0
4652,Petrol,Pune,Tata,Manza,135000.0,2010,57476.0
4653,Petrol,Pune,Honda,Civic,152000.0,2009,91246.0
4654,Cng-hybrid,Pune,Tata,Nano,159000.0,2015,104000.0
4655,Petrol,Pune,Maruti,Suzuki Swift,189000.0,2008,56000.0
4656,Petrol,Pune,Maruti,Suzuki Alto-K10,190000.0,2011,86000.0
4657,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R-1-0,411000.0,2016,106000.0
4658,Diesel,Pune,Mahindra,Bolero,720000.0,2018,108000.0
4659,Diesel,Pune,Audi,A6,780000.0,2012,115000.0
4660,Diesel,Pune,Ford,Classic,275000.0,2014,80000.0
4661,Petrol,Pune,Hyundai,Creta,799000.0,2015,69000.0
4663,Petrol,Pune,Hyundai,Santro,625000.0,2021,7833.0
4664,Diesel,Pune,Maruti,Suzuki Swift,540000.0,2015,80000.0
4665,Diesel,Pune,Ford,Figo,195000.0,2012,80000.0
4666,Diesel,Pune,Maruti,Suzuki Swift,550000.0,2016,83000.0
4667,Diesel,Pune,Maruti,Suzuki Swift-Dzire,300000.0,2011,80000.0
4668,Diesel,Pune,Chevrolet,Enjoy,375000.0,2016,85000.0
4669,Cng-hybrid,Pune,Renault,Triber,551000.0,2019,80000.0
4670,Diesel,Pune,Mercedes-Benz,GLA Class,2099000.0,2016,85000.0
4671,Petrol,Pune,Hyundai,i10,161700.0,2008,81000.0
4672,Petrol,Pune,Hyundai,i20,275000.0,2011,56000.0
4673,Petrol,Pune,Honda,Jazz,699000.0,2018,24000.0
4674,Petrol,Pune,Ford,Ecosport,460000.0,2013,44000.0
4675,Petrol,Pune,Honda,WRV,850000.0,2019,31000.0
4676,Diesel,Pune,Mercedes-Benz,E-Class,775000.0,2011,90000.0
4677,Diesel,Pune,Volkswagen,Passat,521100.0,2012,75100.0
4678,Diesel,Pune,Volkswagen,Passat,521100.0,2012,75100.0
4679,Diesel,Pune,Honda,City,999999.0,2018,88000.0
4680,Petrol,Pune,Toyota,Etios Liva,255000.0,2012,76000.0
4681,Diesel,Pune,Tata,Indigo Ecs,199000.0,2012,93000.0
4682,Petrol,Pune,Hyundai,i20,255000.0,2012,46200.0
4683,Diesel,Pune,Toyota,Etios Liva,485000.0,2014,104567.0
4684,Diesel,Pune,Volkswagen,VentoTest,435000.0,2013,121456.0
4685,Petrol,Pune,Tata,Nano,255000.0,2016,23456.0
4686,Petrol,Pune,Tata,Nano,155000.0,2014,17456.0
4687,Diesel,Pune,Hyundai,Verna,590000.0,2013,55000.0
4688,Petrol,Pune,Hyundai,Grand i10,420000.0,2015,27000.0
4689,Petrol,Pune,Hyundai,i10,345000.0,2013,46123.0
4690,Petrol,Pune,Renault,KWID,535000.0,2022,4234.0
4691,Petrol,Pune,Hyundai,Santro,185000.0,2007,42789.0
4692,Diesel,Pune,Maruti,Suzuki Vitara-Brezza,965000.0,2019,47234.0
4693,Petrol,Pune,Maruti,Suzuki Ignis,465000.0,2018,48234.0
4694,Petrol,Pune,Volkswagen,VentoTest,379000.0,2012,43000.0
4695,Cng-hybrid,Pune,Maruti,Suzuki Wagon-R-1-0,385000.0,2015,50000.0
4696,Diesel,Pune,Tata,Indica V2,215000.0,2016,92000.0
4697,Electric,Pune,Maruti,Suzuki Swift-Dzire,799000.0,2018,97000.0
4698,Diesel,Pune,Jeep,Compass,1315000.0,2018,77714.0
4699,Cng-hybrid,Pune,Hyundai,Aura,188000.0,2023,1234.0
4700,Petrol,Pune,Maruti,Suzuki Celerio,495000.0,2018,31000.0
