CarName,Price,Year,KilometersDriven,Fuel Type,Location
Honda City,"4,35,000",2012,"30,000 km",Petrol,Bandra West
Maruti Suzuki Swift-Dzire,"7,11,000",2018,"74,000 km",Diesel,Vile Parle West
Hyundai Creta,"10,50,000",2018,"49,000 km",Petrol,Chembur
Tata Tigor,"4,95,000",2017,"34,000 km",Petrol,Chembur
Hyundai Elantra,"7,25,000",2014,"71,000 km",Diesel,Chembur
Hyundai i20,"3,69,000",2012,"75,000 km",Diesel,Chembur
Honda City,"6,65,000",2016,"65,000 km",Petrol,Dadar East
Maruti Suzuki Ertiga,"10,40,000",2021,"86,864 km",Petrol,Matunga East
Maruti Suzuki Wagon-R,"3,55,000",2016,"140,782 km",Petrol,Bandra East
Maruti Suzuki Ertiga,"10,25,000",2020,"28,000 km",Electric,Bandra West
Toyota Innova,"10,50,000",2016,"94,000 km",Diesel,Bandra West
Maruti Suzuki XL6,"10,75,000",2020,"16,806 km",Petrol,Chembur
Volkswagen Passat,"9,75,000",2012,"35,000 km",Diesel,Chembur
Maruti Suzuki Ritz,"1,85,000",2010,"58,346 km",Petrol,Chembur
Nissan Sunny,"2,95,000",2013,"77,000 km",Petrol,Vile Parle East
Toyota Corolla Altis,"15,50,000",2019,"24,500 km",Petrol,Chembur
Audi A8 L,"19,25,000",2012,"58,000 km",Diesel,Vile Parle East
Maruti Suzuki maruti-suzuki-dzire,"7,15,000",2018,"27,000 km",Petrol,Chembur
BMW X7,"1,19,00,000",2021,"7,000 km",Petrol,Bandra West
BMW 3 Series,"45,99,000",2020,"19,800 km",Petrol,Bandra West
Toyota Innova,"5,50,000",2010,"149,754 km",Diesel,Kurla West
Audi A6,"19,49,999",2016,"68,000 km",Diesel,Bandra West
Hyundai Creta,"19,49,999",2022,"13,500 km",Diesel,Bandra West
BMW X3,"39,99,000",2019,"73,000 km",Diesel,Mahim
Mercedes-Benz C-Class,"5,25,000",2011,"63,000 km",Petrol,Bandra West
Hyundai i20,"3,60,000",2013,"51,000 km",Petrol,Chembur
Maruti Suzuki S-Cross,"5,99,900",2015,"84,000 km",Diesel,Chembur
Volkswagen Polo,"2,75,000",2012,"67,000 km",Diesel,Chembur
Renault Duster,"3,78,000",2012,"80,000 km",Diesel,Chembur
Toyota Land Cruiser Prado,"9,99,999",2007,"214,000 km",Petrol,Bandra West
Toyota Urban Cruiser,"10,99,000",2022,"3,242 km",Petrol,Kurla West
Maruti Suzuki S-Presso,"4,85,000",2020,"37,354 km",Petrol,Guru Teg Bahadur Nagar
Maruti Suzuki Wagon-R-1-0,"2,45,000",2011,"62,000 km",Petrol,Khar West
Hyundai i20,"3,60,000",2012,"69,000 km",Petrol,Wadala West
Maruti Suzuki Swift,"3,90,000",2014,"68,000 km",Petrol,Dadar East
Audi A8 L,"23,50,000",2012,"36,326 km",Diesel,Santacruz West
Nissan Terrano,"5,00,000",2013,"84,000 km",Diesel,Matunga Road
Honda Brio,"3,10,000",2013,"68,000 km",Petrol,Matunga Road
Mercedes-Benz A-class Limousine,"41,90,000",2021,"4,500 km",Petrol,Vile Parle West
Maruti Suzuki Ertiga,"5,45,000",2012,"82,000 km",Diesel,Santacruz East
Maruti Suzuki Wagon-R,"1,45,000",2009,"70,000 km",Petrol,Santacruz West
Skoda Rapid,"7,95,000",2017,"77,000 km",Diesel,Bandra West
Ford Ecosport,"4,80,000",2014,"69,000 km",Diesel,Chembur
Maruti Suzuki Baleno,"5,78,000",2017,"57,000 km",Petrol,Chembur
Maruti Suzuki Swift-Dzire,"3,68,000",2012,"82,000 km",Petrol,Chembur
Toyota Innova Hycross,"32,54,999",2023,"12,000 km",Petrol,Vile Parle West
Hyundai Venue,"9,98,000",2020,"57,000 km",Petrol,Chembur
Volvo XC60,"56,94,999",2021,"36,000 km",Diesel,Vile Parle West
Mercedes-Benz E-Class,"41,94,999",2017,"38,000 km",Diesel,Vile Parle West
Maruti Suzuki Ertiga,"11,10,999",2021,"20,500 km",Petrol,Chembur
Maruti Suzuki Alto,"69,000",2001,"68,000 km",Petrol,Bandra East
Tata Harrier,"23,75,000",2022,"13,500 km",Diesel,Chembur
Honda City,"2,25,000",2008,"123,560 km",Petrol,Kurla West
Land Rover Discovery Sport,"35,50,000",2017,"38,000 km",Diesel,Vile Parle East
Maruti Suzuki Vitara-Brezza,"8,40,000",2018,"59,000 km",Diesel,Dadar East
Maruti Suzuki Sx4,"2,10,000",2010,"44,000 km",Petrol,Sion East
Toyota Glanza,"7,75,000",2018,"7,981 km",Petrol,Kurla West
Toyota Etios Liva,"4,75,000",2013,"70,048 km",Diesel,Kurla West
Hyundai i20 Active,"5,50,000",2016,"45,000 km",Petrol,Bandra West
Volkswagen Ameo,"4,90,000",2017,"63,000 km",Petrol,Santacruz East
Maruti Suzuki Ertiga,"12,11,111",2022,"15,000 km",Petrol,Bandra West
Mercedes-Benz GLC Class,"39,75,111",2018,"50,000 km",Diesel,Bandra West
Hyundai Venue,"11,90,000",2023,"6,744 km",Diesel,Chembur
Kia Sonet,"11,50,000",2020,"18,237 km",Petrol,Chembur
Tata Nexon,"9,75,000",2021,"21,000 km",Petrol,Bandra West
Skoda Superb,"3,45,000",2012,"57,000 km",Petrol,Bandra West
Mercedes-Benz E-Class,"19,50,000",2016,"84,000 km",Petrol,Bandra West
Audi Q3,"14,85,000",2014,"60,000 km",Diesel,Chembur
Maruti Suzuki Ertiga,"6,49,000",2014,"111,000 km",Diesel,Bandra East
Maruti Suzuki Wagon-R,"3,85,000",2015,"65,000 km",CNG & Hybrids,Dadar East
Maruti Suzuki Wagon-R,"6,25,000",2021,"42,710 km",Petrol,Bandra West
Honda City,"2,15,000",2009,"53,000 km",CNG & Hybrids,Santacruz East
Jaguar XJ,"36,50,000",2015,"82,000 km",Diesel,Khar West
Audi A4,"8,95,000",2012,"78,144 km",Diesel,Vile Parle East
Mercedes-Benz S-Class,"1,51,00,000",2020,"26,000 km",Petrol,Vile Parle East
Tata EV,"14,50,000",2023,"10,000 km",Electric,Vile Parle East
Mahindra TUV,"7,25,000",2017,"45,000 km",Diesel,Bandra West
Kia Sonet,"10,85,000",2021,"21,521 km",Petrol,Chembur
