,CarName,Price,Year,KilometersDriven,Fuel Type,Location
98,Honda Amaze,"6,79,000",2019,"26,129 KM",PETROL,"Goregaon, Mumbai"
99,Maruti Swift Dzire,"3,28,000",2012,"45,788 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
100,Maruti Swift,"2,44,000",2010,"85,544 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
101,Hyundai Elite i20,"6,67,000",2018,"62,469 KM",PETROL,"Mulund, Mumbai"
102,Hyundai Eon,"2,96,000",2018,"77,370 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
103,Honda City,"5,52,000",2016,"91,750 KM",PETROL,"Mulund, Mumbai"
104,Hyundai Xcent,"3,56,000",2015,"27,591 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
105,Mahindra Thar,"15,69,000",2022,"9,814 KM",DIESEL,"Mulund, Mumbai"
106,Maruti Alto 800,"1,87,000",2012,"27,275 KM",PETROL,"Mulund, Mumbai"
107,Hyundai Elite i20,"4,71,000",2015,"50,117 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
108,Honda City,"2,94,000",2011,"91,937 KM",PETROL,"Goregaon, Mumbai"
109,Honda City,"3,06,000",2012,"1,00,760 KM",PETROL,"Mulund, Mumbai"
110,Nissan Micra,"3,30,000",2014,"31,091 KM",PETROL,"Goregaon, Mumbai"
111,Maruti Ertiga,"5,58,000",2015,"70,995 KM",PETROL,"Mulund, Mumbai"
112,Hyundai VENUE,"7,82,000",2021,"71,635 KM",PETROL,"Goregaon, Mumbai"
113,Maruti Swift Dzire,"2,81,000",2011,"59,566 KM",PETROL,"Mulund, Mumbai"
114,Maruti Dzire,"5,97,000",2017,"25,482 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
115,Hyundai Creta,"6,99,000",2016,"99,304 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
116,KIA SONET,"10,50,200",2020,"48,383 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
117,Maruti Ertiga,"6,44,000",2015,"24,957 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
118,Renault Kwid,"3,38,000",2017,"26,954 KM",PETROL,"Mulund, Mumbai"
119,Tata Tiago,"3,95,000",2016,"46,765 KM",PETROL,"Mulund, Mumbai"
120,Hyundai Verna,"4,97,000",2014,"82,289 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
121,Maruti Ertiga,"5,67,000",2012,"94,671 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
122,Maruti Wagon R 1.0,"2,28,000",2012,"64,173 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
123,Hyundai Verna,"9,88,000",2021,"15,862 KM",PETROL,"Goregaon, Mumbai"
124,Hyundai i20,"2,83,000",2012,"47,740 KM",PETROL,"Mulund, Mumbai"
125,Maruti Vitara Brezza,"6,86,000",2016,"77,943 KM",DIESEL,"Goregaon, Mumbai"
126,Maruti Dzire,"5,72,000",2018,"66,879 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
127,Hyundai Elite i20,"5,78,000",2018,"21,423 KM",PETROL,"Mulund, Mumbai"
128,Skoda Rapid,"9,13,000",2020,"34,880 KM",DIESEL,"Mulund, Mumbai"
129,Hyundai i10,"2,34,000",2013,"84,622 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
130,Volkswagen Polo,"5,21,000",2016,"44,124 KM",PETROL,"Mulund, Mumbai"
131,Renault Kwid,"3,10,000",2017,"47,446 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
132,Maruti Ciaz,"9,68,000",2019,"55,169 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
133,Maruti Celerio,"3,66,000",2014,"53,740 KM",CNG,"Mulund, Mumbai"
134,Maruti Wagon R 1.0,"2,72,000",2012,"58,318 KM",CNG,"Rupa Renaissance, Navi Mumbai"
135,Hyundai i10,"1,91,000",2010,"40,322 KM",PETROL,"Goregaon, Mumbai"
136,Maruti Alto,"3,58,000",2021,"16,858 KM",PETROL,"Goregaon, Mumbai"
137,Hyundai Elite i20,"5,12,000",2014,"1,06,910 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
138,Mahindra XUV500,"7,37,000",2017,"57,570 KM",DIESEL,"Mulund, Mumbai"
139,Honda City,"5,26,000",2015,"43,070 KM",PETROL,"Goregaon, Mumbai"
140,Maruti Celerio X,"4,36,000",2017,"24,275 KM",PETROL,"Mulund, Mumbai"
141,Skoda Rapid,"3,51,000",2012,"61,347 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
142,Maruti Swift Dzire,"4,37,000",2013,"72,359 KM",DIESEL,"Goregaon, Mumbai"
143,Maruti Wagon R 1.0,"2,64,000",2012,"1,12,591 KM",CNG,"Rupa Renaissance, Navi Mumbai"
144,Maruti Swift,"4,94,000",2017,"9,675 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
145,Maruti Ertiga,"8,72,000",2017,"44,556 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
146,Volkswagen Vento,"3,42,000",2013,"94,922 KM",DIESEL,"Goregaon, Mumbai"
147,Ford Ecosport,"8,13,000",2019,"22,004 KM",PETROL,"Mulund, Mumbai"
148,Hyundai Verna,"5,02,000",2016,"80,413 KM",PETROL,"Mulund, Mumbai"
149,Maruti Wagon R 1.0,"3,93,000",2017,"74,706 KM",CNG,"Goregaon, Mumbai"
150,Maruti Baleno,"4,83,000",2016,"51,002 KM",PETROL,"Goregaon, Mumbai"
151,Maruti Baleno,"6,72,000",2019,"52,152 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
152,Toyota URBAN CRUISER,"9,69,000",2022,"12,970 KM",PETROL,"Mulund, Mumbai"
153,Honda Amaze,"3,33,000",2013,"94,746 KM",DIESEL,"Mulund, Mumbai"
154,Maruti Ciaz,"5,86,000",2016,"38,381 KM",PETROL,"Mulund, Mumbai"
155,Hyundai Grand i10,"3,67,000",2015,"41,378 KM",PETROL,"Goregaon, Mumbai"
156,Hyundai Creta,"9,25,000",2019,"56,549 KM",PETROL,"Mulund, Mumbai"
157,Honda Amaze,"3,51,000",2013,"36,685 KM",PETROL,"Goregaon, Mumbai"
158,Maruti Dzire,"6,42,000",2021,"78,582 KM",PETROL,"Goregaon, Mumbai"
159,Tata Harrier,"13,19,000",2019,"77,757 KM",DIESEL,"Mulund, Mumbai"
160,Maruti Vitara Brezza,"8,82,000",2018,"48,642 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
161,Maruti Swift Dzire,"4,58,000",2014,"51,532 KM",PETROL,"Mulund, Mumbai"
162,Maruti Ciaz,"5,04,000",2015,"1,16,138 KM",DIESEL,"Goregaon, Mumbai"
163,Honda Amaze,"3,72,000",2016,"1,11,247 KM",PETROL,"Mulund, Mumbai"
164,Hyundai Elite i20,"5,22,000",2016,"33,339 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
165,Hyundai i20 Active,"5,70,000",2017,"25,690 KM",PETROL,"Mulund, Mumbai"
166,Hyundai AURA,"7,47,000",2021,"14,305 KM",CNG,"Rupa Renaissance, Navi Mumbai"
167,Maruti Wagon R 1.0,"3,48,000",2015,"21,598 KM",PETROL,"Goregaon, Mumbai"
168,Hyundai Grand i10,"5,03,000",2018,"58,922 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
169,Maruti Celerio,"3,75,000",2016,"63,983 KM",PETROL,"Mulund, Mumbai"
170,Honda Amaze,"3,49,000",2013,"92,195 KM",DIESEL,"Rupa Renaissance, Navi Mumbai"
171,Hyundai Verna,"7,06,000",2016,"61,875 KM",DIESEL,"Mulund, Mumbai"
172,Honda CRV,"6,99,000",2013,"74,039 KM",PETROL,"Goregaon, Mumbai"
173,Maruti Swift Dzire,"4,67,000",2015,"61,960 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
174,Volkswagen Polo,"4,89,000",2015,"97,403 KM",PETROL,"Mulund, Mumbai"
175,Maruti Wagon R 1.0,"2,81,000",2013,"50,244 KM",PETROL,"Goregaon, Mumbai"
176,Maruti Wagon R Stingray,"3,07,000",2013,"80,001 KM",PETROL,"Goregaon, Mumbai"
177,Maruti Swift,"3,28,000",2013,"60,424 KM",PETROL,"Mulund, Mumbai"
178,Honda Jazz,"2,81,000",2012,"37,938 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
179,Maruti Swift Dzire,"4,79,000",2016,"77,984 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
180,Hyundai i10,"3,25,000",2015,"45,879 KM",PETROL,"Goregaon, Mumbai"
181,Maruti Alto 800,"2,12,000",2013,"28,725 KM",PETROL,"Mulund, Mumbai"
182,Hyundai Elite i20,"5,25,000",2015,"14,498 KM",PETROL,"Mulund, Mumbai"
183,Maruti Wagon R 1.0,"3,69,000",2016,"36,056 KM",PETROL,"Rupa Renaissance, Navi Mumbai"
184,Maruti Alto 800,"2,42,000",2016,"34,721 KM",PETROL,"Goregaon, Mumbai"
185,Hyundai Creta,"16,85,000",2021,"43,673 KM",PETROL,"Mulund, Mumbai"
