,CarName,Price,Year,KilometersDriven,Fuel Type,Location
284,Mahindra Scorpio,"13,85,000",2021,"29,793 KM",DIESEL,"Bellahalli, Bengaluru"
285,Renault Kwid,"4,01,000",2017,"40,030 KM",PETROL,"Bellahalli, Bengaluru"
286,Hyundai Verna,"5,04,000",2012,"93,180 KM",DIESEL,"Bellahalli, Bengaluru"
287,Hyundai Elite i20,"6,27,000",2016,"27,103 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
288,Hyundai NEW SANTRO,"5,71,000",2022,"6,777 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
289,Skoda SLAVIA,"12,82,000",2022,"3,463 KM",PETROL,"Bellahalli, Bengaluru"
290,Maruti Swift,"7,80,000",2023,"7,172 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
291,Hyundai Xcent,"4,51,000",2014,"27,766 KM",PETROL,"Horamavu Agara Road, Bengaluru"
292,Maruti Baleno,"6,65,000",2017,"41,500 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
293,Honda City,"6,47,000",2015,"34,916 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
294,Hyundai Elite i20,"7,87,000",2019,"14,285 KM",PETROL,"Sonnappanahalli, Bengaluru"
295,Hyundai i10,"3,11,000",2011,"42,173 KM",PETROL,"Bellahalli, Bengaluru"
296,Maruti Alto K10,"3,33,000",2016,"24,858 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
297,Maruti Celerio,"4,96,000",2018,"41,594 KM",PETROL,"Bellahalli, Bengaluru"
298,Maruti Swift,"6,58,000",2018,"26,007 KM",PETROL,"Bellahalli, Bengaluru"
299,Tata ALTROZ,"9,01,000",2022,"14,257 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
300,Maruti Baleno,"6,70,000",2017,"65,740 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
301,Maruti Celerio,"4,12,000",2015,"36,209 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
302,Honda Brio,"3,54,000",2015,"96,198 KM",PETROL,"Horamavu Agara Road, Bengaluru"
303,Maruti Ritz,"3,40,000",2011,"1,24,712 KM",DIESEL,"Bellahalli, Bengaluru"
304,Honda City,"8,04,000",2015,"22,261 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
305,Renault Duster,"8,89,000",2020,"95,678 KM",PETROL,"Bellahalli, Bengaluru"
306,Hyundai Grand i10,"6,67,000",2019,"31,938 KM",PETROL,"Bellahalli, Bengaluru"
307,Maruti Swift,"7,09,000",2021,"29,905 KM",PETROL,"Bellahalli, Bengaluru"
308,Maruti Dzire,"6,32,000",2017,"1,12,566 KM",DIESEL,"Horamavu Agara Road, Bengaluru"
309,Ford New Figo,"7,48,000",2020,"16,520 KM",DIESEL,"Sonnappanahalli, Bengaluru"
310,Hyundai Verna,"10,16,000",2018,"39,147 KM",PETROL,"GT World Mall, Bengaluru"
311,Hyundai GRAND I10 NIOS,"6,20,000",2019,"27,937 KM",PETROL,"Sonnappanahalli, Bengaluru"
312,Honda Amaze,"7,01,000",2018,"30,197 KM",PETROL,"Bellahalli, Bengaluru"
