ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
24,Honda Amaze S Petrol BSIV,5.51 Lakh,2018,49061,Petrol,"Sector 18, Noida",https://www.cardekho.com/buy-used-car-details/used-Honda-Amaze-S-Petrol-Bsiv-cars-Noida_b5623435-02a8-4f63-9008-a801df9f3c40.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
25,Mercedes-Benz E-Class Exclusive E 220d,49.90 Lakh,2020,18500,Diesel,"Patel Nagar, New Delhi",https://www.cardekho.com/used-car-details/used-Mercedes-benz-E-class-Exclusive-E-220d-cars-New-Delhi_c643263c-60d7-4e97-85c5-0755c30b0cef.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
26,Hyundai Venue S,7.85 Lakh,2021,58000,Petrol,"Sector 16, Noida",https://www.cardekho.com/used-car-details/used-Hyundai-Venue-S-cars-Noida_e2a68ecb-e818-4a04-9187-5196733c7012.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
27,Maruti Alto 800 VXI BSVI,4.09 Lakh,2021,17389,Petrol,"Sector 11, Faridabad",https://www.cardekho.com/buy-used-car-details/used-Maruti-Alto-800-Vxi-Bsvi-cars-Faridabad_ad125944-1f01-46f7-9820-4eb2f1d34efa.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
28,Land Rover Range Rover Sport 2.0 Petrol SE,1.10 Crore,2019,6200,Petrol,"Naraina, New Delhi",https://www.cardekho.com/used-car-details/used-Land-Rover-Range-Rover-Sport-2.0-Petrol-Se-cars-New-Delhi_d7bec365-b337-4d57-9727-22287ab427fd.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
29,BMW 5 Series 520d Luxury Line,16.50 Lakh,2015,94001,Diesel,"Preet Vihar, New Delhi",https://www.cardekho.com/used-car-details/used-Bmw-5-Series-520d-Luxury-Line-cars-New-Delhi_9b63fed8-0cec-48c1-a649-e11404d950f9.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
30,Renault KWID 1.0 RXT BSVI,5.24 Lakh,2022,15260,Petrol,"Sector 18, Noida",https://www.cardekho.com/buy-used-car-details/used-Renault-Kwid-1.0-Rxt-Bsvi-cars-Noida_dd24d2fd-bf7f-40b2-9e0d-0e1608c1ef27.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
31,Mahindra Thar LX 4-Str Hard Top AT BSVI,16 Lakh,2022,26000,Petrol,"Vikas Puri, New Delhi",https://www.cardekho.com/used-car-details/used-Mahindra-Thar-Lx-4-str-Hard-Top-At-Bsvi-cars-New-Delhi_8073e52d-1ecd-4ba3-b824-fddfaa3822a4.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
32,Kia Seltos HTX G,11.54 Lakh,2019,27579,Petrol,"Sector 39, Noida",https://www.cardekho.com/buy-used-car-details/used-Kia-Seltos-Htx-G-cars-Noida_7d9d41bd-b21e-4b91-aed3-1ff164ee40f2.htm,https://images10.gaadi.com/usedcar_image/3821669/original/a1097a37a7efc8a02af4fd4d76765daa.jpg?imwidth=420
33,Kia Carens Prestige Turbo 2022-2023,10.89 Lakh,2022,20000,Petrol,New Delhi,https://www.cardekho.com/used-car-details/used-Kia-Carens-Prestige-Turbo-2022-2023-cars-New-Delhi_83e93349-4279-495e-b10f-23f2d9d9e01d.htm,https://images10.gaadi.com/usedcar_image/3823787/original/processed_371395d0-ae62-401f-b755-77780906cf8a.jpg?imwidth=420
34,Maruti Vitara Brezza VDi,6.25 Lakh,2018,50000,Diesel,"Ramesh Nagar, New Delhi",https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Vdi-cars-New-Delhi_51de11a2-c3f2-4e69-959f-ce03898c3853.htm,https://images10.gaadi.com/usedcar_image/3829229/original/processed_c2d1fba1b535ac9f424e893c81c67107.jpg?imwidth=420
35,Hyundai Creta 1.4 E Plus CRDi,7.99 Lakh,2017,40000,Diesel,"Chittranjan Park, New Delhi",https://www.cardekho.com/used-car-details/used-Hyundai-Creta-1.4-E-Plus-Crdi-cars-New-Delhi_ac9b4332-6444-4bea-bb5b-c8f4640206db.htm,https://images10.gaadi.com/usedcar_image/3829460/original/processed_7a0369b837d588f5b38ee454f7374574.jpg?imwidth=420
36,BMW 5 Series 530i M Sport BSVI,60 Lakh,2021,13000,Petrol,"Naraina, New Delhi",https://www.cardekho.com/used-car-details/used-Bmw-5-Series-530i-M-Sport-Bsvi-cars-New-Delhi_da516642-b833-493e-9b7b-4df813b3c67d.htm,https://images10.gaadi.com/usedcar_image/3825767/original/processed_d5f9990d59ddf884cfa120046a82320f.jpg?imwidth=420
37,Nissan Kicks XE D BSIV,6.25 Lakh,2019,80000,Diesel,Noida,https://www.cardekho.com/used-car-details/used-Nissan-Kicks-Xe-D-Bsiv-cars-Noida_922f9f3f-002a-4735-8273-b8e785940255.htm,https://images10.gaadi.com/usedcar_image/3808590/original/processed_141b5c77-2b11-499b-b1fd-eed5f9ec13ba.jpg?imwidth=420
38,Mahindra Thar LX 4-Str Hard Top AT BSVI,14.50 Lakh,2021,32000,Petrol,"Chittaranjan, New Delhi",https://www.cardekho.com/used-car-details/used-Mahindra-Thar-Lx-4-str-Hard-Top-At-Bsvi-cars-New-Delhi_b28c66ba-e566-49d5-b6a9-ffb36945916b.htm,https://images10.gaadi.com/usedcar_image/3828512/original/processed_1f7f2b915af4ead1eb2254fe9d556f29.jpeg?imwidth=420
39,Maruti Brezza Zxi Plus,12.25 Lakh,2022,18000,Petrol,"Defence Colony, New Delhi",https://www.cardekho.com/used-car-details/used-Maruti-Brezza-Zxi-Plus-cars-New-Delhi_ba02a948-a2e5-48cc-9faa-40302e187081.htm,https://images10.gaadi.com/usedcar_image/3829911/original/processed_b898767efed3ebef84ed0dc5e494dba5.jpg?imwidth=420
40,Honda Brio S MT,2.10 Lakh,2012,39779,Petrol,Noida,https://www.cardekho.com/buy-used-car-details/used-Honda-Brio-S-Mt-cars-Noida_de3b2141-bd50-47e4-a710-2026bd50d0d1.htm,https://images10.gaadi.com/usedcar_image/3827437/original/4de34f44efb72c9c792bfba694e2807c.png?imwidth=420
41,Mercedes-Benz M-Class ML 350 4Matic,20.50 Lakh,2015,88000,Diesel,"Moti Nagar, New Delhi",https://www.cardekho.com/used-car-details/used-Mercedes-benz-M-class-Ml-350-4matic-cars-New-Delhi_1bedcfc4-b38c-4d47-99f0-eeca40628053.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
42,Maruti Baleno 1.2 CVT Alpha,8.63 Lakh,2020,27579,Petrol,"Sector 18, Noida",https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Cvt-Alpha-cars-Noida_70bbce4d-0fa3-4e75-a08f-26c73a9a5c2b.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
43,Mahindra XUV700 AX7 AT Luxury Pack,25.50 Lakh,2022,12000,Petrol,"Rajouri Garden, New Delhi",https://www.cardekho.com/used-car-details/used-Mahindra-Xuv700-Ax7-At-Luxury-Pack-cars-New-Delhi_4c25ff5f-50b9-436c-adfc-9ed7c878f3fc.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
44,Maruti S-Presso VXI 2019-2022,4.09 Lakh,2019,54923,Petrol,"Sector 49, Gurgaon",https://www.cardekho.com/buy-used-car-details/used-Maruti-S-presso-Vxi-2019-2022-cars-Gurgaon_c38bbc50-3f33-4138-939d-25734e23d00d.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
45,Audi Q7 45 TDI Quattro Technology,39.95 Lakh,2016,75000,Diesel,Gurgaon,https://www.cardekho.com/used-car-details/used-Audi-Q7-45-Tdi-Quattro-Technology-cars-Gurgaon_fd34c0c1-72b8-4176-ac02-c7ad9a4c40d9.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
46,Hyundai Creta SX IVT BSVI,15.50 Lakh,2021,37000,Petrol,Noida,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-Sx-Ivt-Bsvi-cars-Noida_ef2e99f3-5659-4904-94e2-097393529964.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
47,Maruti Baleno 1.2 CVT Zeta,6.19 Lakh,2018,61157,Petrol,"Sector 18, Noida",https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Cvt-Zeta-cars-Noida_6b40cf98-3c4c-4ace-988d-13f3f6f75df0.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
