CarName,Price,Year,KilometersDriven,Fuel Type,Location
Honda City,"5,95,000",2015,"58,000 km",Petrol,"Pitampura, Delhi"
Mahindra XUV500,"5,10,000",2014,"72,000 km",Diesel,"Pitampura, Delhi"
Mahindra TUV,"5,45,000",2017,"79,000 km",Diesel,"Pitampura, Delhi"
Maruti Suzuki Swift-Dzire,"6,05,000",2019,"53,000 km",Petrol,"Pitampura, Delhi"
Renault Duster,"3,35,000",2014,"68,000 km",Diesel,"Pitampura, Delhi"
Mercedes-Benz CLA,"24,75,000",2018,"10,000 km",Diesel,"Pitampura, Delhi"
Hyundai Elite i20,"4,10,000",2015,"73,000 km",Diesel,"Pitampura, Delhi"
Maruti Suzuki Swift,"5,85,000",2018,"68,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Wagon-R,"5,55,000",2021,"17,000 km",CNG & Hybrids,"Pitampura, Delhi"
Honda City,"6,45,000",2015,"71,000 km",Petrol,"Pitampura, Delhi"
Mahindra XUV500,"9,75,000",2018,"65,000 km",Diesel,"Rohini Sector 7, Delhi"
Maruti Suzuki Ciaz,"4,45,000",2014,"104,582 km",Diesel,"Hari Nagar, Delhi"
BMW 5 Series,"37,90,000",2018,"48,000 km",Diesel,"Rajouri Garden, Delhi"
Maruti Suzuki Swift,"4,85,000",2018,"61,000 km",Diesel,"Pitampura, Delhi"
Mahindra XUV500,"7,35,000",2016,"87,000 km",Diesel,"Pitampura, Delhi"
Honda Mobilio,"4,90,000",2015,"65,000 km",Petrol,"Pitampura, Delhi"
Honda City,"4,65,000",2014,"65,000 km",Diesel,"Pitampura, Delhi"
Hyundai Creta,"6,65,000",2016,"67,000 km",Diesel,"Pitampura, Delhi"
Hyundai Elite i20,"4,65,000",2017,"54,000 km",Petrol,"Pitampura, Delhi"
Audi Q3,"8,85,000",2014,"91,000 km",Diesel,"Pitampura, Delhi"
Maruti Suzuki S-Cross1,"5,25,000",2017,"71,000 km",Diesel,"Pitampura, Delhi"
Mahindra XUV500,"4,85,000",2014,"67,000 km",Diesel,"Pitampura, Delhi"
Maruti Suzuki Swift,"5,60,000",2018,"68,000 km",Petrol,"Pitampura, Delhi"
Hyundai Verna,"5,35,000",2015,"53,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki maruti-suzuki-brezza,"6,10,000",2017,"73,000 km",Diesel,"Pitampura, Delhi"
Maruti Suzuki Swift,"6,25,000",2020,"43,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Swift,"4,21,000",2015,"63,000 km",Petrol,"Pitampura, Delhi"
Tata Tigor,"5,25,000",2018,"7,400 km",Petrol,"Rohini Sector 4, Delhi"
Toyota Etios,"2,75,000",2012,"75,000 km",Petrol,"Vikaspuri, Delhi"
Hyundai Verna,"3,49,000",2011,"65,000 km",CNG & Hybrids,"Nangloi, Delhi"
Honda City,"6,25,000",2016,"64,000 km",CNG & Hybrids,"Rajouri Garden, Delhi"
BMW X5,"36,99,999",2017,"81,000 km",Diesel,"Vikaspuri, Delhi"
Maruti Suzuki Baleno,"4,95,000",2016,"48,000 km",Petrol,"Pitampura, Delhi"
Hyundai Grand i10,"4,50,000",2017,"35,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Celerio,"3,30,000",2015,"68,000 km",CNG & Hybrids,"Rajouri Garden, Delhi"
