CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai Elite i20,"8,60,001",2020,"75,000 km",Diesel,"Vijaya Nagar, Bengaluru"
Renault Duster,"8,60,000",2018,"34,000 km",Petrol,"Banashankari Stage 2, Bengaluru"
Maruti Suzuki Swift,"2,70,000",2007,"42,000 km",Petrol,"Banashankari, Bengaluru"
Mercedes-Benz C-Class,"56,00,000",2022,"6,000 km",Diesel,"Kasturba Road, Bengaluru"
Ford Ecosport,"4,45,000",2013,"38,000 km",Petrol,"Banashankari, Bengaluru"
Volkswagen Polo,"9,75,000",2021,"13,716 km",Petrol,"Sadashiva Nagar, Bengaluru"
Honda City,"5,45,000",2014,"167,000 km",Diesel,"Banashankari Stage 2, Bengaluru"
Hyundai Elite i20,"8,10,000",2019,"35,000 km",Petrol,"Giri Nagar Phase 1, Bengaluru"
Toyota Innova,"5,75,000",2007,"214,000 km",Diesel,"Giri Nagar Phase 1, Bengaluru"
Jeep Compass,"18,50,000",2018,"13,000 km",Diesel,"Giri Nagar Phase 1, Bengaluru"
Tata Nexon,"8,95,000",2021,"28,665 km",Petrol,"Richmond Town, Bengaluru"
Hyundai i10,"3,20,000",2011,"65,000 km",Petrol,"Banashankari, Bengaluru"
Mahindra XUV500,"12,25,000",2017,"75,000 km",Diesel,"Basaveshvara Nagar, Bengaluru"
Maruti Suzuki Ertiga,"7,75,000",2017,"70,000 km",Petrol,"Basaveshvara Nagar, Bengaluru"
Toyota Innova,"13,25,000",2014,"158,000 km",Diesel,"Basaveshvara Nagar, Bengaluru"
Volkswagen Polo,"7,75,000",2016,"77,005 km",Petrol,"Sadashiva Nagar, Bengaluru"
Toyota Urban Cruiser,"11,00,000",2022,"8,922 km",Petrol,"Sadashiva Nagar, Bengaluru"
Honda City,"5,25,000",2011,"80,454 km",Petrol,"Sadashiva Nagar, Bengaluru"
Mahindra Scorpio,"7,50,000",2013,"65,258 km",Diesel,"Sadashiva Nagar, Bengaluru"
Hyundai Santro Xing,"2,10,000",2007,"55,000 km",Petrol,"Banashankari Stage 2, Bengaluru"
Mercedes-Benz C-Class,"56,00,000",2022,"1,894 km",Diesel,"Kasturba Road, Bengaluru"
Mercedes-Benz E-Class,"73,25,000",2023,"1,200 km",Diesel,"Kasturba Road, Bengaluru"
Volkswagen Polo,"4,70,000",2014,"59,000 km",Diesel,"Banagiri Nagar, Bengaluru"
Maruti Suzuki Eeco,"5,10,000",2021,"36,000 km",Petrol,"Basaveshvara Nagar, Bengaluru"
Honda City,"9,45,000",2019,"56,000 km",Petrol,"Banashankari, Bengaluru"
Skoda Rapid,"10,85,000",2020,"76,761 km",Petrol,"Sadashiva Nagar, Bengaluru"
Volkswagen Polo,"4,70,000",2014,"59,000 km",Diesel,"Banashankari Stage 2, Bengaluru"
Maruti Suzuki Alto-800,"2,50,000",2013,"34,000 km",Petrol,"Karanataka bangalore nagarabhavi 2nd stage, Bengaluru"
Maruti Suzuki Swift,"6,25,000",2018,"69,000 km",Petrol,"Banashankari Stage 2, Bengaluru"
Hyundai i20,"3,35,000",2009,"78,000 km",Petrol,"Banashankari Stage 2, Bengaluru"
Mahindra XUV500,"9,00,000",2014,"90,000 km",Diesel,"Giri Nagar Phase 1, Bengaluru"
Hyundai i10,"3,25,000",2013,"60,000 km",LPG,"Giri Nagar Phase 1, Bengaluru"
Maruti Suzuki Ritz,"4,50,000",2015,"80,000 km",Diesel,"Giri Nagar Phase 1, Bengaluru"
Hyundai Elite i20,"8,10,000",2019,"35,000 km",Petrol,"Giri Nagar Phase 1, Bengaluru"
Hyundai Elite i20,"6,85,000",2017,"63,000 km",Petrol,"Giri Nagar Phase 1, Bengaluru"
Tata Nexon,"8,95,000",2021,"28,665 km",Petrol,"Banashankari, Bengaluru"
Kia Carens,"18,99,000",2022,"16,307 km",Petrol,"Banashankari, Bengaluru"
Honda City,"7,79,000",2016,"68,061 km",Petrol,"Vijaya Nagar, Bengaluru"
Mercedes-Benz E-Class,"6,75,000",2006,"26,000 km",Petrol,"Vijaya Nagar, Bengaluru"
Jeep Compass,"17,75,000",2018,"33,000 km",Diesel,"RK Layout 2nd Stage, Bengaluru"
Maruti Suzuki Swift-Dzire,"6,00,000",2016,"79,000 km",Petrol,"Basaveshvara Nagar, Bengaluru"
Maruti Suzuki Ertiga,"6,45,000",2013,"89,000 km",Diesel,"Basaveshvara Nagar, Bengaluru"
Renault Duster,"8,49,000",2019,"28,000 km",Petrol,"Kamakshipalya, Bengaluru"
Maruti Suzuki Celerio,"4,25,000",2015,"78,000 km",Petrol,"Basaveshvara Nagar, Bengaluru"
Mercedes-Benz E-Class,"72,75,000",2022,821 km,Diesel,"Kasturba Road, Bengaluru"
Mercedes-Benz E-Class,"54,50,000",2019,"30,900 km",Petrol,"Kasturba Road, Bengaluru"
Skoda Octavia,"11,00,000",2014,"91,000 km",Diesel,"Rajaji Nagar, Bengaluru"
Volkswagen Polo,"6,75,000",2016,"78,000 km",Diesel,"Rajaji Nagar, Bengaluru"
Kia Carens,"18,99,000",2022,"16,307 km",Petrol,"Richmond Town, Bengaluru"
Maruti Suzuki Swift,"7,45,000",2020,"11,164 km",Petrol,"Richmond Town, Bengaluru"
Maruti Suzuki S-Cross1,"7,95,000",2016,"52,444 km",Diesel,"Richmond Town, Bengaluru"
Maruti Suzuki Celerio,"4,30,000",2017,"72,000 km",Petrol,"Basaveshvara Nagar, Bengaluru"
Maruti Suzuki Swift-Dzire,"6,70,000",2018,"89,500 km",Diesel,"Slv layout, Bengaluru"
Honda City ZX,"1,85,000",2005,"90,000 km",Petrol,"Rajaji Nagar, Bengaluru"
Maruti Suzuki Alto,"2,75,000",2012,"3,800 km",Petrol,"Malleshwaram, Bengaluru"
Maruti Suzuki Celerio,"4,95,000",2018,"24,000 km",Petrol,"Banashankari, Bengaluru"
BMW X1,"33,75,000",2019,"37,000 km",Diesel,"Lavelle Road, Bengaluru"
Honda City,"6,99,000",2017,"89,000 km",Diesel,"Vijaya Nagar, Bengaluru"
Hyundai Elite i20,"6,75,000",2017,"46,000 km",Petrol,"Banashankari Stage 2, Bengaluru"
Volvo S60,"43,50,000",2021,"17,000 km",Petrol,"Lavelle Road, Bengaluru"
Ford Ecosport,"9,75,000",2019,"30,546 km",Petrol,"Sadashiva Nagar, Bengaluru"
Toyota Innova,"5,75,000",2006,"228,000 km",Diesel,"Giri Nagar Phase 1, Bengaluru"
Hyundai i10,"2,75,000",2009,"68,000 km",Petrol,"Giri Nagar Phase 1, Bengaluru"
Honda City,"6,50,000",2014,"37,000 km",Petrol,"Giri Nagar Phase 1, Bengaluru"
Honda City,"8,00,000",2017,"60,000 km",Petrol,"Giri Nagar Phase 1, Bengaluru"
Toyota Innova,"3,00,000",2005,"400,000 km",Diesel,"Giri Nagar Phase 1, Bengaluru"
Mahindra XUV500,"8,75,000",2014,"75,000 km",Diesel,"Giri Nagar Phase 1, Bengaluru"
Toyota Fortuner,"16,50,000",2014,"82,000 km",Diesel,"Rajajinagar Industrial Town, Bengaluru"
Toyota Fortuner,"16,50,000",2014,"82,000 km",Diesel,"Giri Nagar Phase 1, Bengaluru"
Hyundai i20,"4,00,000",2011,"79,000 km",Petrol,"Giri Nagar Phase 1, Bengaluru"
Isuzu D-Max V-Cross,"16,50,000",2017,"75,000 km",Diesel,"Giri Nagar Phase 1, Bengaluru"
Hyundai i10,"4,50,000",2016,"35,000 km",Petrol,"Giri Nagar Phase 1, Bengaluru"
Hyundai Fluidic Verna,"7,45,000",2015,"92,000 km",Diesel,"Rajaji Nagar, Bengaluru"
Hyundai i10,"3,45,000",2012,"72,500 km",Petrol,"Agrahara Dasarahalli, Bengaluru"
Renault Duster,"5,35,000",2013,"86,000 km",Diesel,"Basaveshvara Nagar, Bengaluru"
Renault Duster,"5,75,000",2013,"80,000 km",Diesel,"Shastri Nagar, Bengaluru"
