,CarName,Price,Year,KilometersDriven,Fuel Type,Location
62,Hyundai Santro Xing,"1,80,000",2009,"45,000 km",Petrol,"Balkampet, Hyderabad"
63,Tata Safari,"18,90,000",2021,"29,606 km",Diesel,"Kukatpally, Hyderabad"
64,Renault KWID,"4,25,000",2021,"19,655 km",Petrol,"Kukatpally, Hyderabad"
65,Renault KWID,"3,35,000",2017,"51,000 km",Petrol,"Kukatpally, Hyderabad"
66,Honda City,"5,45,000",2016,"64,531 km",Petrol,"Kukatpally, Hyderabad"
67,Maruti Suzuki Ertiga,"8,75,000",2020,"75,443 km",Petrol,"Kukatpally, Hyderabad"
68,Hyundai Elite i20,"6,95,000",2017,"81,000 km",Petrol,"Kukatpally, Hyderabad"
69,Maruti Suzuki Wagon-R,"4,50,000",2017,"47,000 km",Petrol,"BK Guda, Hyderabad"
70,Maruti Suzuki Swift-Dzire,"7,25,000",2017,"66,000 km",Diesel,"Old Bowenpally, Secunderabad, Hyderabad"
71,Maruti Suzuki Swift-Dzire,"7,75,000",2018,"83,000 km",Diesel,"Old Bowenpally, Secunderabad, Hyderabad"
72,Honda Amaze,"6,95,000",2021,"30,600 km",Petrol,"Kukatpally, Hyderabad"
73,Maruti Suzuki Vitara-Brezza,"9,85,000",2018,"73,282 km",Diesel,"Madhapur, Hyderabad"
74,Jeep Compass,"16,00,000",2018,"26,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
75,Mahindra Xylo,"2,65,000",2016,"110,000 km",Diesel,"Balkampet, Hyderabad"
76,Volkswagen Polo,"3,45,000",2012,"80,000 km",Diesel,"Madhapur, Hyderabad"
77,Mercedes-Benz M-Class,"24,50,000",2014,"160,450 km",Diesel,"Kukatpally, Hyderabad"
78,Honda City,"8,45,000",2019,"27,550 km",Petrol,"Kukatpally, Hyderabad"
79,Hyundai Venue,"12,45,000",2022,"3,834 km",Petrol,"Kukatpally, Hyderabad"
80,Maruti Suzuki Swift,"5,65,000",2017,"69,000 km",Petrol,"Balkampet, Hyderabad"
81,Hyundai Creta,"15,95,000",2022,"42,443 km",Diesel,"Kukatpally, Hyderabad"
82,Maruti Suzuki Baleno,"7,10,000",2021,"27,602 km",Petrol,"Kukatpally, Hyderabad"
83,Mahindra Bolero,"3,45,000",2012,"91,000 km",Diesel,"Kukatpally, Hyderabad"
84,Maruti Suzuki S-Cross1,"9,20,000",2018,"74,428 km",Diesel,"South Park, Hyderabad"
85,Maruti Suzuki Swift,"2,30,000",2007,"90,000 km",Petrol,"Qutbullapur, Hyderabad"
86,Honda Civic,"2,50,000",2007,"91,000 km",Petrol,"Kukatpally, Hyderabad"
87,Maruti Suzuki Omni,"2,75,000",2013,"10,000 km",Petrol,"Balkampet, Hyderabad"
88,Maruti Suzuki Ertiga,"10,55,000",2019,"45,273 km",Diesel,"Kukatpally, Hyderabad"
89,Skoda Rapid,"8,45,000",2019,"92,016 km",Diesel,"Kukatpally, Hyderabad"
90,Hyundai i20,"6,25,000",2019,"53,000 km",Petrol,"Kukatpally, Hyderabad"
91,Hyundai i10,"3,40,000",2011,"55,000 km",Petrol,"Balkampet, Hyderabad"
92,Volkswagen VentoTest,"3,40,000",2011,"130,000 km",Diesel,"Balkampet, Hyderabad"
93,Tata Bolt,"2,95,000",2016,"85,000 km",Diesel,"Balkampet, Hyderabad"
94,Mercedes-Benz GLE Class,"79,49,000",2020,"29,019 km",Diesel,"Madhapur, Hyderabad"
95,Maruti Suzuki Vitara-Brezza,"7,80,000",2017,"100,000 km",Diesel,"Balkampet, Hyderabad"
96,Maruti Suzuki Wagon-R-1-0,"2,15,000",2011,"122,000 km",Petrol,"Balkampet, Hyderabad"
97,Maruti Suzuki Swift,"7,39,000",2022,"27,000 km",Petrol,"BK Guda, Hyderabad"
98,Hyundai i20,"4,50,000",2013,"98,000 km",Petrol,"BK Guda, Hyderabad"
99,Mercedes-Benz GLC Class,"34,50,000",2017,"91,794 km",Diesel,"Madhapur, Hyderabad"
100,Honda City,"6,60,000",2016,"97,000 km",Diesel,"Bowenpally, Hyderabad"
101,Hyundai Venue,"14,69,000",2023,"11,000 km",Diesel,"Yousuf Guda, Hyderabad"
102,Maruti Suzuki Swift,"5,45,000",2014,"86,000 km",Diesel,"Madhapur, Hyderabad"
103,Maruti Suzuki Vitara-Brezza,"9,65,000",2021,"12,228 km",Petrol,"Kukatpally, Hyderabad"
104,Honda City,"7,60,000",2017,"37,666 km",Petrol,"Madhapur, Hyderabad"
105,Maruti Suzuki XL6,"11,50,000",2019,"60,000 km",Petrol,"Sanath Nagar, Hyderabad"
106,Honda City ZX,"13,50,000",2021,"26,000 km",Petrol,"Balkampet, Hyderabad"
107,Honda City ZX,"2,50,000",2007,"60,000 km",Petrol,"Sundar Nagar, Hyderabad"
108,Maruti Suzuki Wagon-R,"1,95,000",2007,"80,000 km",LPG,"Anjaneya Nagar, Hyderabad"
109,Tata Indica Ev2,"1,95,000",2015,"88,000 km",Diesel,"Balkampet, Hyderabad"
110,Maruti Suzuki Wagon-R-1-0,"4,60,000",2016,"68,000 km",Petrol,"BK Guda, Hyderabad"
111,BMW X5,"67,50,000",2019,"37,998 km",Diesel,"Madhapur, Hyderabad"
112,Mahindra Xylo,"5,40,000",2018,"90,000 km",Diesel,"Balkampet, Hyderabad"
113,Maruti Suzuki Swift-Dzire,"3,60,000",2009,"106,947 km",Diesel,"Madhapur, Hyderabad"
114,Mahindra Thar,"16,50,000",2021,"32,100 km",Diesel,"Kukatpally, Hyderabad"
115,Hyundai i20,"7,45,000",2017,"51,000 km",Diesel,"Madhapur, Hyderabad"
116,Hyundai i10,"2,65,000",2011,"60,000 km",Petrol,"Panjagutta, Hyderabad"
117,Skoda Rapid,"4,00,000",2015,"77,000 km",..,"Madhapur, Hyderabad"
118,Maruti Suzuki Ertiga,"6,00,000",2012,"98,000 km",Diesel,"Balkampet, Hyderabad"
119,Hyundai i10,"3,20,000",2013,"38,000 km",Petrol,"Balkampet, Hyderabad"
120,Maruti Suzuki Vitara-Brezza,"9,00,000",2019,"75,173 km",Diesel,"Madhapur, Hyderabad"
121,Maruti Suzuki S-Cross1,"9,20,000",2018,"74,428 km",Diesel,"Madhapur, Hyderabad"
122,Maruti Suzuki Eeco,"4,50,000",2017,"63,000 km",CNG & Hybrids,"Balkampet, Hyderabad"
123,Mahindra Marazzo,"8,80,000",2020,"71,000 km",Diesel,"Balkampet, Hyderabad"
124,Hyundai i20,"8,75,000",2019,"36,000 km",Petrol,"Madhapur, Hyderabad"
125,Hyundai i20,"8,75,000",2018,"76,000 km",Petrol,"Madhapur, Hyderabad"
126,Mahindra XUV500,"16,75,000",2019,"91,000 km",Diesel,"Madhapur, Hyderabad"
127,Maruti Suzuki Swift,"4,95,000",2014,"96,000 km",Diesel,"Kukatpally, Hyderabad"
128,Hyundai Santro Xing,"1,60,000",2010,"44,000 km",Petrol,"Kukatpally, Hyderabad"
