,CarName,Price,Year,KilometersDriven,Fuel Type,Location
166,Land Rover Range Rover Evoque,"66,00,000",2020,"8,700 km",Petrol,"Dharavi, Mumbai"
167,Hyundai Venue,"7,99,999",2019,"24,000 km",Petrol,"Matunga Road, Mumbai"
168,Toyota Etios,"4,99,999",2016,"48,400 km",Petrol,"Juhu Tara Road, Mumbai"
169,Mercedes-Benz C-Class,"10,25,000",2012,"67,500 km",Petrol,"Bandra West, Mumbai"
170,Mercedes-Benz GLA Class,"16,99,999",2015,"47,500 km",Petrol,"Santacruz East, Mumbai"
171,Audi A4,"10,50,000",2013,"54,000 km",Diesel,"Chembur, Mumbai"
172,BMW X7,"1,09,00,000",2021,"38,000 km",Diesel,"Santacruz West, Mumbai"
173,Hyundai Creta,"12,45,000",2018,"42,817 km",Petrol,"Vile Parle East, Mumbai"
174,Toyota Camry,"14,60,000",2014,"77,844 km",Petrol,"Chembur, Mumbai"
175,Mercedes-Benz A Class,"13,95,000",2015,"49,800 km",Diesel,"Dadar East, Mumbai"
176,Mercedes-Benz GLC Class,"62,00,000",2021,"23,000 km",Petrol,"Santacruz East, Mumbai"
177,Mini Cooper Convertible,"37,00,000",2016,"27,000 km",Petrol,"Dadar West, Mumbai"
178,Maruti Suzuki Swift,"4,99,999",2016,"47,247 km",Petrol,"Chembur, Mumbai"
179,Ford Figo,"1,85,000",2013,"55,241 km",Petrol,"Sion West, Mumbai"
180,Nissan Terrano,"5,40,000",2015,"62,500 km",Diesel,"Tilak Nagar, Mumbai"
181,Honda City,"4,99,999",2014,"81,000 km",Diesel,"Bandra West, Mumbai"
182,Mercedes-Benz E-Class,"16,25,000",2013,"51,000 km",Diesel,"Matunga Road, Mumbai"
183,Kia Sonet,"13,95,000",2022,"41,000 km",Diesel,"Bandra West, Mumbai"
184,Mini Cooper Convertible,"44,00,000",2019,"23,000 km",Petrol,"Bandra West, Mumbai"
185,BMW 3 Series,"50,50,000",2021,"7,600 km",Petrol,"Bandra West, Mumbai"
186,Hyundai i10,"2,75,000",2011,"65,000 km",CNG & Hybrids,"Matunga Road, Mumbai"
187,BMW 3 Series,"8,75,000",2011,"84,000 km",Diesel,"Matunga Road, Mumbai"
188,Toyota Camry,"7,45,000",2012,"55,000 km",Petrol,"Santacruz West, Mumbai"
189,Hyundai Creta,"12,85,000",2021,"38,300 km",Diesel,"Dadar East, Mumbai"
190,Land Rover Range Rover,"65,00,000",2013,"79,500 km",Diesel,"Bandra West, Mumbai"
191,Honda Brio,"2,91,000",2013,"65,278 km",Petrol,"Vile Parle East, Mumbai"
192,Mahindra XUV500,"10,75,000",2018,"70,000 km",Diesel,"Sion East, Mumbai"
193,Land Rover Range Rover,"2,55,00,000",2021,"22,000 km",Diesel,"Santacruz West, Mumbai"
194,Maruti Suzuki Wagon-R-1-0,"2,55,000",2012,"77,000 km",CNG & Hybrids,"Matunga Road, Mumbai"
195,Volvo XC 90,"13,11,000",2012,"67,999 km",Diesel,"Santacruz East, Mumbai"
196,Renault Duster,"7,90,000",2017,"52,000 km",Diesel,"Vile Parle East, Mumbai"
197,Honda Jazz,"4,65,000",2015,"115,000 km",Diesel,"Vile Parle East, Mumbai"
198,Nissan Terrano,"4,75,000",2014,"68,000 km",Diesel,"Vile Parle East, Mumbai"
199,Maruti Suzuki Wagon-R,"4,25,000",2018,"36,000 km",CNG & Hybrids,"Vile Parle East, Mumbai"
200,Skoda Kodiaq,"26,50,000",2018,"45,000 km",Diesel,"Matunga Road, Mumbai"
201,Skoda Rapid,"4,99,999",2016,"64,000 km",Petrol,"Matunga Road, Mumbai"
202,Hyundai Grand i10,"4,49,999",2017,"19,000 km",Petrol,"Matunga Road, Mumbai"
203,Ford Ecosport,"6,75,000",2018,"80,841 km",Petrol,"Sion West, Mumbai"
204,BMW X5,"80,00,000",2020,"34,000 km",Diesel,"Bandra West, Mumbai"
205,Mahindra Bolero Power Plus,"5,65,000",2017,"61,000 km",Diesel,"Chembur, Mumbai"
206,Mahindra Bolero Power Plus,"5,65,000",2017,"60,000 km",Diesel,"Chembur, Mumbai"
207,Maruti Suzuki Eeco,"4,10,000",2019,"39,600 km",Petrol,"Chembur, Mumbai"
208,Mahindra Marazzo,"9,25,000",2018,"58,000 km",Diesel,"Chembur, Mumbai"
209,Hyundai Grand i10 Nios,"6,35,000",2020,"26,765 km",Petrol,"Chembur, Mumbai"
210,Toyota VELLFIRE,"1,08,00,000",2020,"18,000 km",Petrol,"Santacruz West, Mumbai"
211,Maruti Suzuki XL6,"11,85,000",2020,"18,143 km",Petrol,"Chembur, Mumbai"
212,Skoda Kushaq,"14,75,000",2021,"38,500 km",Petrol,"Chembur, Mumbai"
213,Ford Ecosport,"4,75,000",2013,"77,500 km",Diesel,"Chembur, Mumbai"
214,Hyundai i20,"3,95,000",2013,"19,500 km",Petrol,"Chembur, Mumbai"
215,Maruti Suzuki Eeco,"3,50,000",2020,"15,000 km",Petrol,"Chembur, Mumbai"
216,Maruti Suzuki Eeco,"4,25,000",2018,"28,000 km",CNG & Hybrids,"Chembur, Mumbai"
