CarName,Price,Year,KilometersDriven,Fuel Type,Location
Audi Q3 35 TDI Quattro Premium,22 Lakh,2015,"80,000 km",Diesel,Hyderabad
Hyundai Grand i10 1.2 Kappa Sportz BSIV,5.56 Lakh,2018,"33,773 km",Petrol,"Vanastalipuram, Hyderabad"
Maruti XL6 Zeta,10.80 Lakh,2020,"30,700 km",Petrol,"Uppal, Hyderabad"
Hyundai i10 Magna,3.14 Lakh,2013,"49,550 km",Petrol,"Begumbazar, Hyderabad"
Hyundai i20 Asta 1.2,6.52 Lakh,2017,"61,766 km",Petrol,"Rangareddi, Hyderabad"
Tata Indica DLX,"75,000",2007,"1,20,000 km",Diesel,Hyderabad
Hyundai Creta 1.6 SX Diesel,10.60 Lakh,2018,"62,782 km",Diesel,"Nagole, Hyderabad"
Audi A8 55 TFSI,99.50 Lakh,2020,"18,500 km",Petrol,"Paltra, Gurgaon"
Mahindra XUV500 W9,13.95 Lakh,2019,"80,000 km",Diesel,"Uppal, Hyderabad"
Maruti Baleno 1.2 Alpha,6.40 Lakh,2017,"72,468 km",Petrol,"Nagol, Hyderabad"
Maruti Alto K10 VXI,3.60 Lakh,2018,"73,928 km",Petrol,"Nagole, Hyderabad"
Maruti Swift Dzire VXi,6.50 Lakh,2020,"97,000 km",Petrol,"L B Nagar, Hyderabad"
Mahindra Thar LX 4-Str Hard Top Diesel BSVI,17.25 Lakh,2022,"24,000 km",Diesel,"Ammerpet, Hyderabad"
Mahindra XUV500 W10 2WD,10.80 Lakh,2016,"1,16,507 km",Diesel,"Gandhi Bhawan, Hyderabad"
Audi A8 L 60 TFSI Quattro,53 Lakh,2016,"25,100 km",Petrol,"Paltra, Gurgaon"
Honda City i VTEC V,7.39 Lakh,2017,"57,852 km",Petrol,"Vanastalipuram, Hyderabad"
Hyundai i10 Magna 1.1L,3.14 Lakh,2013,"91,344 km",Petrol,"Rangareddi, Hyderabad"
Maruti Baleno 1.2 CVT Zeta,6.30 Lakh,2017,"75,136 km",Petrol,"Gandhi Bhawan, Hyderabad"
Hyundai Grand i10 1.2 Kappa Sportz BSIV,5.55 Lakh,2017,"53,848 km",Petrol,"Begumbazar, Hyderabad"
Tata Tiago NRG XZ BSVI,6.64 Lakh,2021,"50,406 km",Petrol,"Rahmath Nagar, Hyderabad"
Mercedes-Benz C-Class Progressive C 220d,44.50 Lakh,2020,"47,000 km",Diesel,"Begumpet, Hyderabad"
Maruti Baleno 1.2 CVT Alpha,7.12 Lakh,2018,"57,771 km",Petrol,"Begumbazar, Hyderabad"
Mahindra Bolero SLX 4WD,5.65 Lakh,2015,"1,11,000 km",Diesel,Hyderabad
Maruti Baleno 1.2 CVT Alpha,8.78 Lakh,2021,"25,130 km",Petrol,"Begumbazar, Hyderabad"
