CarName,Price,Year,KilometersDriven,Fuel Type,Location
BMW X1 xDrive 20d xLine,24 Lakh,2016,"32,100 km",Diesel,"R.s., Pune"
Maruti Swift ZXI BSIV,5.55 Lakh,2017,"45,359 km",Petrol,"Wakad, Pune"
Maruti Celerio X ZXI BSIV,5.39 Lakh,2019,"90,561 km",Petrol,"Thathawade, Pune"
Honda Jazz 1.2 VX i VTEC,5 Lakh,2016,"61,625 km",Petrol,"Thathawade, Pune"
Ford Ecosport 1.5 Petrol Titanium Plus,5.81 Lakh,2016,"36,000 km",Petrol,"Viman Nagar, Pune"
Maruti Baleno 1.2 Zeta,6.21 Lakh,2017,"30,830 km",Petrol,"Thathawade, Pune"
Honda Brio S MT,3.54 Lakh,2014,"95,634 km",Petrol,"Undri, Pune"
Kia Sonet GTX Plus Turbo iMT BSVI,12.50 Lakh,2022,"11,715 km",Petrol,"Nanded, Pune"
Hyundai i10 Magna,2.59 Lakh,2011,"78,579 km",Petrol,"Undri, Pune"
Honda City i DTec V,5.70 Lakh,2015,"80,000 km",Diesel,"Kothrud, Pune"
Maruti Alto 800 LXI,3.31 Lakh,2017,"14,865 km",Petrol,"Undri, Pune"
Hyundai i20 Asta 1.4 CRDi,4.41 Lakh,2013,"64,564 km",Diesel,"Thathawade, Pune"
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,5.50 Lakh,2008,"1,50,000 km",Diesel,Pune
Maruti Swift Dzire VXI,4.48 Lakh,2012,"42,904 km",Petrol,"Undri, Pune"
Maruti Baleno 1.2 CVT Delta,5.57 Lakh,2018,"60,000 km",Petrol,"Undri, Pune"
Audi Q7 3.0 TDI Quattro Premium Plus,7 Lakh,2008,"70,000 km",Diesel,Pune
Hyundai Grand i10 Sportz,3.80 Lakh,2014,"86,000 km",Petrol,"Hadapsar, Pune"
Maruti SX4 S Cross Zeta DDiS 200 SH,9 Lakh,2018,"50,000 km",Diesel,Pune
Honda City S,4.25 Lakh,2012,"84,000 km",Petrol,"Kondhwa Road, Pune"
Hyundai i20 Sportz Petrol,3.70 Lakh,2012,"86,957 km",Petrol,"Dhankawadi, Pune"
Maruti Swift Dzire Tour 1.2 S STD CNG,6 Lakh,2019,"60,000 km",CNG,Pune
Audi A3 35 TFSI Premium Plus,22.50 Lakh,2018,"43,500 km",Petrol,"R.s., Pune"
Maruti Alto 800 LXi,1.66 Lakh,2012,"89,565 km",Petrol,"Thathawade, Pune"
Maruti Wagon R LXI CNG,4 Lakh,2014,"72,743 km",CNG,"Undri, Pune"
Tata Zest Revotron 1.2T XMS,3.51 Lakh,2014,"85,000 km",Petrol,"Hadapsar, Pune"
Honda BR-V i-VTEC V MT,7.52 Lakh,2016,"49,608 km",Petrol,"Undri, Pune"
Hyundai Xcent 1.2 Kappa S Option,4.76 Lakh,2015,"72,445 km",Petrol,"Undri, Pune"
