CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Baleno Delta Diesel,5.58 Lakh,2019,"38,000 km",Diesel,"Dwarka Sector-6, New Delhi"
Maruti Swift AMT VVT VXI,6.40 Lakh,2020,"51,000 km",Petrol,"Preet Vihar, New Delhi"
Hyundai Grand i10 Sportz,4.35 Lakh,2016,"82,000 km",Petrol,"Defence Colony, New Delhi"
Honda Jazz V CVT,5.40 Lakh,2015,"76,000 km",Petrol,"Defence Colony, New Delhi"
Volvo XC 90 D5 AT AWD,10.50 Lakh,2015,"95,000 km",Diesel,"Naraina, New Delhi"
Maruti Ciaz 1.4 AT Alpha,7.58 Lakh,2017,"39,866 km",Petrol,"Sector 28, Gurgaon"
MG Hector Sharp DCT,16.50 Lakh,2020,"20,000 km",Petrol,New Delhi
Honda Civic ZX Diesel,16.61 Lakh,2019,"74,961 km",Diesel,"Sector 49, Gurgaon"
Ford Aspire Titanium Diesel,2.95 Lakh,2015,"68,000 km",Diesel,"Laxmi Nagar, New Delhi"
Honda CR-V 2.0L 2WD AT,15.75 Lakh,2016,"55,000 km",Petrol,"Chittaranjan, New Delhi"
Maruti Baleno 1.2 Alpha,6.17 Lakh,2018,"62,429 km",Petrol,"Indirapuram, Ghaziabad"
Renault Captur 1.5 Diesel Platine,6.35 Lakh,2018,"68,000 km",Diesel,"Lajpat Nagar, New Delhi"
Ford Figo 1.2P Titanium MT,3.65 Lakh,2016,"65,000 km",Petrol,"Laxmi Nagar, New Delhi"
Tata Harrier XZ Plus Dual Tone 2020-2022,17.83 Lakh,2021,"34,543 km",Diesel,"Sector 11, Faridabad"
Honda Amaze S Petrol,4.50 Lakh,2017,"52,868 km",Petrol,"Mathura Road, Faridabad"
Nissan Terrano XV D Premium AMT,6.45 Lakh,2016,"62,000 km",Diesel,"Sector 12, Gurgaon"
Renault Lodgy 110PS RxZ 8 Seater,3.45 Lakh,2016,"46,000 km",Diesel,Faridabad
Hyundai Creta 1.6 VTVT S,8.35 Lakh,2017,"49,000 km",Petrol,"Sector 12, Gurgaon"
Maruti Baleno 1.2 Zeta,5.70 Lakh,2017,"66,463 km",Petrol,"Vasant Kunj, New Delhi"
Mahindra XUV500 W5 BSIV,8.50 Lakh,2018,"62,000 km",Diesel,"Sector 12, Gurgaon"
Mercedes-Benz GLE 300d BSVI,95 Lakh,2023,"6,000 km",Diesel,"Naraina, New Delhi"
Hyundai Creta 1.4 EX Diesel,9.21 Lakh,2018,"73,000 km",Diesel,"Preet Vihar, New Delhi"
Toyota Corolla Altis JS MT,8.25 Lakh,2016,"75,000 km",Petrol,"Preet Vihar, New Delhi"
Mahindra XUV500 W9 AT BSIV,11.75 Lakh,2018,"61,243 km",Diesel,"Preet Vihar, New Delhi"
