CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Suzuki Wagon R 1.0 LXI CNG,4.15 Lakh,2015,46K km,Petrol+cng,"Spinny Park, Hinjewadi, Pune"
Honda City ZX CVT,14.55 Lakh,2021,8K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Ciaz Alpha Petrol,7.92 Lakh,2018,19K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Venue SX Plus 1.0 Turbo DCT,10.51 Lakh,2019,36K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai i20 Magna 1.2 CNG (Outside Fitted),3.24 Lakh,2012,70K km,Petrol+cng,"Spinny Park, Hinjewadi, Pune"
Renault Kwid 1.0 RXT AMT Opt,4.22 Lakh,2018,34K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Grand i10 Sportz (O) 1.2 kappa VTVT,5.24 Lakh,2017,27K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Alto 800 LXI,3.45 Lakh,2019,9K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Toyota Yaris VX,9.32 Lakh,2018,52K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Mahindra XUV500 W10,12.86 Lakh,2018,87K km,Diesel,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Dzire ZXI AMT,6.73 Lakh,2017,26K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Grand i10 Asta 1.2 Kappa VTVT (O),4.14 Lakh,2014,33K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Ciaz Alpha Diesel,9.32 Lakh,2019,68K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Tata Nexon XZ Plus Petrol,10.80 Lakh,2022,10K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Xcent S Petrol,6.26 Lakh,2019,25K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki S-Presso VXI Opt CNG,5.49 Lakh,2022,7K km,Petrol+cng,"Spinny Hub, Seasons Mall, Pune"
Hyundai Grand i10 Magna 1.2 Kappa VTVT,5.09 Lakh,2018,17K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai i10 Sportz 1.1 Petrol,4.29 Lakh,2016,22K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Celerio ZXI,4.94 Lakh,2020,14K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Creta 1.6 SX VTVT,11.63 Lakh,2019,26K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Kia Seltos HTX Plus D,15.82 Lakh,2020,47K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki S-Presso VXI,4.30 Lakh,2021,8K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Toyota Yaris G CVT,10.19 Lakh,2021,36K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Swift VXI,4.45 Lakh,2015,43K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Swift Dzire ZDI,5.79 Lakh,2013,51K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Tata Zest XMS Petrol,4.15 Lakh,2015,52K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Alto 800 LXI CNG,2.89 Lakh,2014,43K km,Petrol+cng,"Spinny Hub, Seasons Mall, Pune"
Nissan Micra XV CVT,3.05 Lakh,2014,65K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Renault Kwid 1.0 RXL,3.99 Lakh,2020,22K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Hyundai Aura SX 1.2 Petrol,7.84 Lakh,2022,9K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Mahindra XUV500 W5,10.60 Lakh,2018,89K km,Diesel,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Ertiga ZXI,6.73 Lakh,2014,28K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Tata Tiago Revotron XZ,4.16 Lakh,2017,54K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Wagon R 1.0 VXI (O) AMT,4.86 Lakh,2018,50K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Mahindra Marazzo M6 8str,11.53 Lakh,2019,24K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Toyota Yaris VX CVT,9.71 Lakh,2018,20K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Honda CR-V 2.0 CVT Petrol,21.10 Lakh,2019,43K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai New Santro 1.1 Sportz CNG,5.32 Lakh,2019,49K km,Petrol+cng,"Spinny Park, Hinjewadi, Pune"
Ford Figo Aspire Titanium Plus 1.5 TDCi,5.89 Lakh,2018,74K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Alto K10 LXI,2.05 Lakh,2011,28K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Hyundai Grand i10 Magna 1.2 Kappa VTVT,4.66 Lakh,2017,45K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Venue SX 1.4 CRDI,9.76 Lakh,2019,55K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Baleno Zeta Petrol,5.99 Lakh,2016,19K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Grand i10 Asta 1.2 Kappa VTVT (O),4.74 Lakh,2015,67K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Ford EcoSport Titanium + 1.5L TDCi,7.54 Lakh,2018,62K km,Diesel,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Alto K10 VXI,4.12 Lakh,2018,17K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Baleno Alpha AT Petrol,9.89 Lakh,2023,7K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Swift VXI,4.15 Lakh,2013,40K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki S-Cross Alpha 1.3,7.10 Lakh,2015,57K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Swift Dzire VXI,3.95 Lakh,2012,40K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Volkswagen Ameo Highline1.2L (P),4.52 Lakh,2016,107K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Xcent S (O) Petrol,4.30 Lakh,2014,70K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Chevrolet Spark LS 1.0,1.67 Lakh,2012,46K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Renault Kwid RXL 1.0 SCE Special,3.19 Lakh,2017,41K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Ford Freestyle Titanium 1.2,5.99 Lakh,2019,33K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Volkswagen Polo Comfortline 1.2L (P),5.95 Lakh,2017,53K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai i20 Active 1.4 SX,7.76 Lakh,2017,64K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Wagon R 1.0 VXI,4.33 Lakh,2017,22K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,4.56 Lakh,2016,50K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Swift ZXI Plus,6.71 Lakh,2018,67K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Grand i10 Nios Sportz Petrol+cng(outside fitted),6.80 Lakh,2020,26K km,Petrol+cng,"Spinny Park, Hinjewadi, Pune"
Volkswagen Taigun Topline 1.0 TSI AT,13.94 Lakh,2021,29K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Tata Tiago Revotron XT CNG,6.87 Lakh,2022,19K km,Petrol+cng,"Spinny Park, Hinjewadi, Pune"
Honda City ZX CVT,10.73 Lakh,2018,56K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki A-Star VXI,2.89 Lakh,2013,70K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Ford Figo Trend 1.2 Ti-VCT,3.39 Lakh,2015,106K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Wagon R 1.0 LXI CNG,3.64 Lakh,2014,69K km,Petrol+cng,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Swift ZXI AMT,6.57 Lakh,2018,47K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Tata Nexon XM Petrol,7.57 Lakh,2020,34K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Ciaz ZXI+ AT,6.46 Lakh,2016,63K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Swift Dzire ZXI,4.73 Lakh,2012,23K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Wagon R 1.0 LXI CNG,3.49 Lakh,2013,51K km,Petrol+cng,"Spinny Hub, Seasons Mall, Pune"
Toyota Corolla Altis J Petrol,6.40 Lakh,2014,58K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Baleno Zeta AT Petrol,6.87 Lakh,2017,33K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Volkswagen Ameo Highline1.2L (P),5.71 Lakh,2016,22K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Mahindra Marazzo M8 8str,11.02 Lakh,2019,49K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Ford Freestyle Titanium Plus 1.2 Ti-VCT,6.52 Lakh,2019,28K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Tata Nexon XZA Plus AMT Petrol,8.76 Lakh,2018,49K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Xcent S AT Petrol,6.10 Lakh,2017,61K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Renault Kiger RXT MT Dual Tone,6.83 Lakh,2021,27K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Tata Safari XZA Plus,22.14 Lakh,2022,19K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Hyundai Grand i10 Magna 1.2 Kappa VTVT,4.86 Lakh,2017,17K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki New Ertiga ZXI CNG,11.79 Lakh,2022,16K km,Petrol+cng,"Spinny Hub, Seasons Mall, Pune"
Hyundai Creta SX (O) AT Diesel,19.69 Lakh,2022,24K km,Diesel,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Wagon R 1.0 VXI AMT,4.67 Lakh,2017,40K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Honda Amaze 1.2L S CVT,4.94 Lakh,2016,55K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Vitara Brezza ZDi AMT,8.79 Lakh,2019,64K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Swift Dzire VXI,4.76 Lakh,2014,53K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Swift ZDi,5.49 Lakh,2015,76K km,Diesel,"Spinny Hub, Seasons Mall, Pune"
Nissan Micra Active XV Safety Pack,4.04 Lakh,2017,35K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Wagon R 1.0 LXI,3.33 Lakh,2015,64K km,Petrol,"Spinny Park, Hinjewadi, Pune"
