ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
32,Hyundai i10,"3,25,000",2013,60000,LPG,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/hyundai-i10-era-11-lpg-2013-lpg-iid-1736320097,https://apollo-singapore.akamaized.net/v1/files/xk42zd4v7mqe1-IN/image;s=850x0
33,Maruti Suzuki Ritz,"4,50,000",2015,80000,Diesel,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/maruti-suzuki-ritz-zdi-2015-diesel-iid-1735460718,https://apollo-singapore.akamaized.net/v1/files/4wvl5pe7nosl-IN/image;s=850x0
34,Hyundai Elite i20,"8,10,000",2019,35000,Petrol,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/hyundai-elite-i20-asta-option-cvt-2019-petrol-iid-1730068373,https://apollo-singapore.akamaized.net/v1/files/i8u9r7v7v0zm2-IN/image;s=850x0
35,Hyundai Elite i20,"6,85,000",2017,63000,Petrol,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/hyundai-elite-i20-sportz-12-2017-petrol-iid-1721982478,https://apollo-singapore.akamaized.net/v1/files/4z6zadsdjiyu-IN/image;s=850x0
36,Tata Nexon,"8,95,000",2021,28665,Petrol,"Banashankari, Bengaluru",https://www.olx.in/item/tata-nexon-12-revotron-xm-2021-petrol-iid-1748344526,https://apollo-singapore.akamaized.net/v1/files/n9b9gw82zg702-IN/image;s=850x0
37,Kia Carens,"18,99,000",2022,16307,Petrol,"Banashankari, Bengaluru",https://www.olx.in/item/kia-carens-15-luxury-plus-turbo-dct-7-str-2022-petrol-iid-1748343961,https://apollo-singapore.akamaized.net/v1/files/d3ch7o2t9pks3-IN/image;s=850x0
38,Honda City,"7,79,000",2016,68061,Petrol,"Vijaya Nagar, Bengaluru",https://www.olx.in/item/honda-city-i-vtec-v-2016-petrol-iid-1745248513,https://apollo-singapore.akamaized.net/v1/files/85dzq6tlxsx33-IN/image;s=850x0
39,Mercedes-Benz E-Class,"6,75,000",2006,26000,Petrol,"Vijaya Nagar, Bengaluru",https://www.olx.in/item/mercedes-benz-e-class-e-250-elegance-2006-petrol-iid-1746916764,https://apollo-singapore.akamaized.net/v1/files/qbupor3ons7q2-IN/image;s=850x0
40,Jeep Compass,"17,75,000",2018,33000,Diesel,"RK Layout 2nd Stage, Bengaluru",https://www.olx.in/item/jeep-compass-20-limited-plus-2018-diesel-iid-1748688363,https://apollo-singapore.akamaized.net/v1/files/bdrdho0nionn-IN/image;s=850x0
41,Maruti Suzuki Swift-Dzire,"6,00,000",2016,79000,Petrol,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/maruti-suzuki-swift-dzire-zxi-mt-2016-petrol-iid-1749295016,https://apollo-singapore.akamaized.net/v1/files/i2pimii0za9p-IN/image;s=850x0
42,Maruti Suzuki Ertiga,"6,45,000",2013,89000,Diesel,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/maruti-suzuki-ertiga-zdi-shvs-anniversary-edition-2013-diesel-iid-1749294375,https://apollo-singapore.akamaized.net/v1/files/c6zv33csfwgl-IN/image;s=850x0
43,Renault Duster,"8,49,000",2019,28000,Petrol,"Kamakshipalya, Bengaluru",https://www.olx.in/item/renault-duster-petrol-rxs-cvt-2019-petrol-iid-1749070899,https://apollo-singapore.akamaized.net/v1/files/8k3kxlb8jxyi3-IN/image;s=850x0
44,Maruti Suzuki Celerio,"4,25,000",2015,78000,Petrol,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/maruti-suzuki-celerio-zxio-amt-2015-petrol-iid-1731313196,https://apollo-singapore.akamaized.net/v1/files/5hnjr91jhrbn-IN/image;s=850x0
45,Mercedes-Benz E-Class,"72,75,000",2022,821,Diesel,"Kasturba Road, Bengaluru",https://www.olx.in/item/mercedes-benz-e-class-exclusive-e-220-d-2022-diesel-iid-1744905738,https://apollo-singapore.akamaized.net/v1/files/zdqrrfaxq08a1-IN/image;s=850x0
46,Mercedes-Benz E-Class,"54,50,000",2019,30900,Petrol,"Kasturba Road, Bengaluru",https://www.olx.in/item/mercedes-benz-e-class-e-200-avantgarde-2019-petrol-iid-1744904802,https://apollo-singapore.akamaized.net/v1/files/ug68koq82k7e2-IN/image;s=850x0
47,Skoda Octavia,"11,00,000",2014,91000,Diesel,"Rajaji Nagar, Bengaluru",https://www.olx.in/item/skoda-octavia-2013-2017-elegance-20-tdi-at-2014-diesel-iid-1750167190,https://apollo-singapore.akamaized.net/v1/files/a1pnni66e98b2-IN/image;s=850x0
48,Volkswagen Polo,"6,75,000",2016,78000,Diesel,"Rajaji Nagar, Bengaluru",https://www.olx.in/item/volkswagen-polo-15-tdi-highline-2016-diesel-iid-1747854733,https://apollo-singapore.akamaized.net/v1/files/hi44ynvu7lca2-IN/image;s=850x0
49,Kia Carens,"18,99,000",2022,16307,Petrol,"Richmond Town, Bengaluru",https://www.olx.in/item/kia-carens-15-luxury-plus-turbo-dct-2022-petrol-iid-1748348039,https://apollo-singapore.akamaized.net/v1/files/pa23v7wna7o3-IN/image;s=850x0
50,Maruti Suzuki Swift,"7,45,000",2020,11164,Petrol,"Richmond Town, Bengaluru",https://www.olx.in/item/maruti-suzuki-swift-amt-vxi-2020-petrol-iid-1747838182,https://apollo-singapore.akamaized.net/v1/files/52d0d1bl4szk-IN/image;s=850x0
51,Maruti Suzuki S-Cross1,"7,95,000",2016,52444,Diesel,"Richmond Town, Bengaluru",https://www.olx.in/item/maruti-suzuki-s-cross-zeta-shvs-2016-diesel-iid-1747621536,https://apollo-singapore.akamaized.net/v1/files/k4bmidv6dg4h-IN/image;s=850x0
52,Maruti Suzuki Celerio,"4,30,000",2017,72000,Petrol,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/maruti-suzuki-celerio-vxio-2017-petrol-iid-1749293553,https://apollo-singapore.akamaized.net/v1/files/eeoz4qbpo5qu2-IN/image;s=850x0
53,Maruti Suzuki Swift-Dzire,"6,70,000",2018,89500,Diesel,"Slv layout, Bengaluru",https://www.olx.in/item/maruti-suzuki-swift-dzire-vdi-optional-2018-diesel-iid-1744902983,https://apollo-singapore.akamaized.net/v1/files/z7xotsfwwjyd2-IN/image;s=850x0
54,Honda City ZX,"1,85,000",2005,90000,Petrol,"Rajaji Nagar, Bengaluru",https://www.olx.in/item/honda-city-zx-gxi-2005-petrol-iid-1747109203,https://apollo-singapore.akamaized.net/v1/files/xbwriztiss172-IN/image;s=850x0
55,Maruti Suzuki Alto,"2,75,000",2012,3800,Petrol,"Malleshwaram, Bengaluru",https://www.olx.in/item/maruti-suzuki-alto-2005-2010-lxi-bsiii-2012-petrol-iid-1747108797,https://apollo-singapore.akamaized.net/v1/files/tl5f0vr2vare3-IN/image;s=850x0
56,Maruti Suzuki Celerio,"4,95,000",2018,24000,Petrol,"Banashankari, Bengaluru",https://www.olx.in/item/maruti-suzuki-celerio-vxi-amt-2018-petrol-iid-1746640700,https://apollo-singapore.akamaized.net/v1/files/qfp5oq6mhigv3-IN/image;s=850x0
57,BMW X1,"33,75,000",2019,37000,Diesel,"Lavelle Road, Bengaluru",https://www.olx.in/item/bmw-x1-20-sdrive-20d-2019-diesel-iid-1750165418,https://apollo-singapore.akamaized.net/v1/files/5anlrf0d9ftn3-IN/image;s=850x0
58,Honda City,"6,99,000",2017,89000,Diesel,"Vijaya Nagar, Bengaluru",https://www.olx.in/item/honda-city-i-dtec-v-2017-diesel-iid-1746864660,https://apollo-singapore.akamaized.net/v1/files/bpby7l9hklb53-IN/image;s=850x0
59,Hyundai Elite i20,"6,75,000",2017,46000,Petrol,"Banashankari Stage 2, Bengaluru",https://www.olx.in/item/hyundai-elite-i20-asta-12-2017-petrol-iid-1749497262,https://apollo-singapore.akamaized.net/v1/files/tnlrf7gzkuey2-IN/image;s=850x0
60,Volvo S60,"43,50,000",2021,17000,Petrol,"Lavelle Road, Bengaluru",https://www.olx.in/item/volvo-s60-t4-inscription-2021-petrol-iid-1750164672,https://apollo-singapore.akamaized.net/v1/files/m4hl7zfk17c51-IN/image;s=850x0
61,Ford Ecosport,"9,75,000",2019,30546,Petrol,"Sadashiva Nagar, Bengaluru",https://www.olx.in/item/ford-ecosport-2019-petrol-iid-1750164646,https://apollo-singapore.akamaized.net/v1/files/gqo4rswz8k8u2-IN/image;s=850x0
62,Toyota Innova,"5,75,000",2006,228000,Diesel,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/toyota-innova-25-vx-diesel-8-seater-2006-diesel-iid-1739034194,https://apollo-singapore.akamaized.net/v1/files/teigah5dqbod-IN/image;s=850x0
63,Hyundai i10,"2,75,000",2009,68000,Petrol,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/hyundai-i10-sportz-option-2009-petrol-iid-1744738057,https://apollo-singapore.akamaized.net/v1/files/2tolu3i1w6bl-IN/image;s=850x0
64,Honda City,"6,50,000",2014,37000,Petrol,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/honda-city-sv-mt-edge-edition-2014-petrol-iid-1744117174,https://apollo-singapore.akamaized.net/v1/files/s1x1usgv91wf-IN/image;s=850x0
65,Honda City,"8,00,000",2017,60000,Petrol,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/honda-city-v-mt-exclusive-2017-petrol-iid-1744115450,https://apollo-singapore.akamaized.net/v1/files/kqg85ew35ewu1-IN/image;s=850x0
