CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Suzuki Dzire ZXI Plus AMT,8.34 Lakh,2021,15K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
Honda Amaze 1.2 VX CVT i-VTEC,8.84 Lakh,2022,9K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Maruti Suzuki Ignis Zeta MT Petrol,6.19 Lakh,2021,8K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
BMW X1 sDrive20d xLine,28.50 Lakh,2019,34K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Jeep Compass Longitude (O) 1.4 Petrol DCT,20.90 Lakh,2021,10K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
BMW 3 Series 320d Sport,37.90 Lakh,2020,22K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Honda City V CVT,8.63 Lakh,2019,19K km,Petrol,"Spinny Hub, Korum Mall, Thane"
Hyundai Elantra 2.0 SX(O) AT,9.41 Lakh,2016,44K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Volkswagen Vento Highline Petrol AT,6.91 Lakh,2016,42K km,Petrol,"Spinny Hub, Korum Mall, Thane"
Mahindra XUV 300 W8 (O) Petrol,11.24 Lakh,2021,10K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Tata Tiago Revotron XZ Plus CNG,7.16 Lakh,2022,27K km,Petrol+cng,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
Toyota Etios Liva G,2.76 Lakh,2011,51K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
Maruti Suzuki Vitara Brezza ZDi,7.99 Lakh,2018,38K km,Diesel,"Spinny Hub, Seawoods, Navi Mumbai"
Mahindra KUV100 NXT K8 6 STR,5.29 Lakh,2019,28K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
