CarName,Price,Year,KilometersDriven,Fuel Type,Location
Ford Figo Duratec Petrol ZXI 1.2,2.99 Lakh,2012,42K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Kia Seltos GTX Plus DCT,17.24 Lakh,2021,23K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Hyundai Creta 1.6 SX,10.41 Lakh,2016,53K km,Diesel,"Spinny Hub, Bangalore Vega Mall"
Datsun GO T,3.45 Lakh,2017,23K km,Petrol,"Spinny Hub, VR Mall, Bangalore"
Maruti Suzuki Baleno Zeta AT Petrol,6.49 Lakh,2016,53K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Mercedes-Benz C-Class C 220 CDI Progressive,39.45 Lakh,2019,36K km,Diesel,"Spinny Park, Yelahanka, Bangalore"
Maruti Suzuki Swift Dzire VDI,4.29 Lakh,2011,85K km,Diesel,"Spinny Park, Yelahanka, Bangalore"
Nissan Terrano XL Petrol,5.17 Lakh,2014,98K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Hyundai Grand i10 Asta AT 1.2 Kappa VTVT,5.63 Lakh,2014,32K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Maruti Suzuki Swift LXI,5.97 Lakh,2021,29K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Mahindra XUV500 W6 AT,10.31 Lakh,2016,44K km,Diesel,"Spinny Park, Yelahanka, Bangalore"
Chevrolet Beat LT Petrol,2.44 Lakh,2011,45K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Maruti Suzuki Celerio ZXI AMT,5.60 Lakh,2017,39K km,Petrol,"Spinny Hub, VR Mall, Bangalore"
Maruti Suzuki Swift ZXI AMT,8.49 Lakh,2022,13K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Toyota Glanza G,9.16 Lakh,2022,17K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Maruti Suzuki Baleno Alpha Petrol,7.41 Lakh,2017,28K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Ford EcoSport Titanium 1.5L TDCi,9.39 Lakh,2020,77K km,Diesel,"Spinny Hub, Bangalore Vega Mall"
Volkswagen Polo Highline1.2L (P),6.45 Lakh,2016,61K km,Petrol,"Spinny Hub, Nexus Shanti Niketan Mall, Whitefield Rd, Bangalore"
Hyundai Verna 1.6 CRDI SX AT,8.06 Lakh,2017,84K km,Diesel,"Spinny Hub, Bangalore Vega Mall"
Maruti Suzuki Baleno Zeta AT Petrol,7.21 Lakh,2018,46K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Hyundai Grand i10 Asta AT 1.2 Kappa VTVT,5.09 Lakh,2014,80K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
