CarName,Price,Year,KilometersDriven,Fuel Type,Location
MG Motors Hector 1.5 Shine Petrol Turbo CVT,15.47 Lakh,2022,12K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Tata Nexon XZ Plus Petrol,10.94 Lakh,2022,17K km,Petrol,"Spinny Hub, Phoenix Trivium, Hyderabad"
Hyundai Creta 1.6 SX (O),13.75 Lakh,2018,41K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Tata Nexon XZ Plus Optional Diesel,12.78 Lakh,2022,15K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Maruti Suzuki Wagon R 1.0 VXI,3.59 Lakh,2013,32K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Honda City 1.5 S MT,3.99 Lakh,2013,77K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Hyundai Verna 1.6 VTVT SX (O) AT,9.81 Lakh,2018,40K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Skoda Rapid Elegance Diesel MT,5.39 Lakh,2013,66K km,Diesel,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Maruti Suzuki Baleno Alpha Petrol,7.78 Lakh,2019,30K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Mahindra Scorpio S6 Plus,9.92 Lakh,2015,53K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Hyundai Verna 1.6 CRDI SX,8.78 Lakh,2018,76K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Tata Tigor Revotron XZ+,6.96 Lakh,2020,7K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Renault Duster 85 PS RXS MT,8.68 Lakh,2019,66K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,6.99 Lakh,2021,20K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Mahindra XUV 300 W8 AMT Diesel,12.66 Lakh,2021,50K km,Diesel,"Spinny Hub, Phoenix Trivium, Hyderabad"
Tata Nexon XM Petrol,7.42 Lakh,2018,35K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
