,CarName,Price,Year,KilometersDriven,Fuel Type,Location
68,Renault Kiger RXT MT,6.78 Lakh,2022,5K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
69,Hyundai Creta 1.6 SX Plus Auto Petrol,10.37 Lakh,2017,62K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
70,Hyundai Creta 1.6 SX Plus Auto Petrol,11.49 Lakh,2018,18K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
71,Toyota Glanza G,8.49 Lakh,2022,8K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
72,Honda City VX,8.27 Lakh,2017,17K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
73,Hyundai Verna SX AT Diesel,13.26 Lakh,2021,36K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
74,Hyundai Creta 1.6 SX Plus Auto,10.18 Lakh,2017,105K km,Diesel,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
75,Hyundai Creta 1.6 SX Plus Auto Petrol,9.67 Lakh,2017,74K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
76,Volkswagen Polo Highline1.2L (P),4.63 Lakh,2015,126K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
77,Hyundai i10 Sportz 1.2 Petrol,2.96 Lakh,2013,25K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
78,Tata Nexon XM Petrol,6.20 Lakh,2018,65K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
79,Hyundai Elantra 2.0 SX MT,7.84 Lakh,2016,74K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
80,Maruti Suzuki Vitara Brezza ZDi,7.99 Lakh,2018,56K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
81,Skoda Octavia Elegance 1.8 TSI AT,7.33 Lakh,2014,78K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
82,Mercedes-Benz C-Class C200 Avantgrade,19.90 Lakh,2015,48K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
83,BMW X1 sDrive20d xLine,37.90 Lakh,2021,17K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
84,Hyundai Creta 1.6 SX Plus Auto Petrol,8.74 Lakh,2016,42K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
85,Hyundai Elite i20 Sportz 1.2,6.11 Lakh,2018,11K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
86,Renault Kwid 1.0 RXT AMT,3.62 Lakh,2017,34K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
87,Honda City ZX CVT,14.21 Lakh,2022,24K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
88,Maruti Suzuki Wagon R 1.0 LXI CNG,5.55 Lakh,2019,29K km,Petrol+cng,"Spinny Hub, Korum Mall, Thane, Mumbai"
89,Hyundai New i20 Asta (O) 1.0 Turbo DCT,9.13 Lakh,2020,12K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
90,Maruti Suzuki Ciaz Alpha 1.3 Diesel,7.93 Lakh,2017,31K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
91,Hyundai Creta 1.6 SX AT,12.77 Lakh,2018,88K km,Diesel,"Spinny Hub, Korum Mall, Thane, Mumbai"
92,Maruti Suzuki Ciaz ZDi+,6.38 Lakh,2016,62K km,Diesel,"Spinny Hub, Korum Mall, Thane, Mumbai"
93,Maruti Suzuki Swift ZXI,5.89 Lakh,2018,57K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
94,Hyundai Neo Fluidic Elantra 1.8 SX MT VTVT,6.99 Lakh,2015,52K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
95,Maruti Suzuki Wagon R 1.0 LXI CNG,2.93 Lakh,2013,92K km,Petrol+cng,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
96,Hyundai i10 Magna Petrol,2.10 Lakh,2012,103K km,Petrol,"Spinny Hub, Korum Mall, Thane, Mumbai"
97,Maruti Suzuki Swift Dzire VXI 1.2,3.25 Lakh,2011,59K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
98,Tata Altroz XT 1.2,6.59 Lakh,2020,14K km,Petrol,"Spinny Hub, Seawoods, Navi Mumbai"
99,Toyota Etios GD,4.80 Lakh,2014,71K km,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
100,Skoda Octavia Style Plus 1.8 TSI AT,12.70 Lakh,2017,29K km,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
101,Volkswagen Vento Highline Diesel AT,5.75 Lakh,2016,114K km,Diesel,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai"
102,Audi Q3 30 TFSI Premium,20.50 Lakh,2017,26K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
103,Volvo XC40 T4 R-Design,41.25 Lakh,2022,10K km,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai"
