,CarName,Price,Year,KilometersDriven,Fuel Type,Location
61,BMW X1 sDrive20i xLine,33.25 Lakh,2019,16K km,Petrol,"Max Hub @ Trillium Avenue, Gurgaon, Delhi"
62,Hyundai i20 Magna (O) 1.2,2.99 Lakh,2012,67K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
63,Maruti Suzuki Swift VXI,4.10 Lakh,2015,67K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
64,Renault Kwid 1.0 RXT,2.60 Lakh,2016,89K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
65,Maruti Suzuki Wagon R 1.0 VXI,3.45 Lakh,2015,17K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
66,Hyundai Elite i20 Magna 1.2,4.61 Lakh,2016,102K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
67,Honda Jazz VX,5.37 Lakh,2018,51K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
68,Honda Amaze 1.2L S,4.15 Lakh,2016,76K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
69,Maruti Suzuki Swift VXI,3.27 Lakh,2013,59K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
70,Maruti Suzuki Wagon R 1.0 LXI,2.29 Lakh,2011,33K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
71,Hyundai Elite i20 Sportz 1.2,5.67 Lakh,2016,27K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
72,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,6.89 Lakh,2022,5K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
73,Maruti Suzuki Baleno Zeta Petrol,5.93 Lakh,2017,17K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
74,Maruti Suzuki Baleno Alpha Petrol,6.67 Lakh,2019,31K km,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri, Delhi"
75,Tata Altroz XZ Turbo 1.2,8.10 Lakh,2021,23K km,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi"
